axis,value,observed_l1,uniform_r_l1,uplift_l1,delta_recovery
K,2,0.19760000000000003,0.1548386365252691,0.0796695157840015,0.11793048421599853
K,5,0.21096000000000004,0.15310356637785788,0.07615272985824038,0.1348072701417596
K,10,0.20615999999999998,0.15607938236361313,0.07508130885508123,0.13107869114491877
K,20,0.21210000000000004,0.1618428983519539,0.07277271698406419,0.13932728301593583
K,40,0.21466000000000002,0.16411049040096162,0.07179728493233516,0.14286271506766487
alpha,0.5,0.2538,0.14144528249045554,0.04738214352807743,0.20641785647192257
alpha,1.0,0.24500000000000002,0.14827757083193158,0.058266188888734735,0.18673381111126525
alpha,2.0,0.20615999999999998,0.15607938236361313,0.07508130885508123,0.13107869114491877
alpha,5.0,0.18144000000000002,0.18951243184911168,0.08828276716857383,0.09315723283142616
alpha,10.0,0.16088,0.20900914208287244,0.10039649261811068,0.060483507381889345
gamma,0.0,0.05835999999999999,0.05835999999999999,0.05836,-5.551115123125783e-18
gamma,0.1,0.11700000000000003,0.0927650591593893,0.06623507691972826,0.05076492308027177
gamma,0.2,0.20615999999999998,0.15607938236361313,0.07508130885508123,0.13107869114491877
gamma,0.3,0.30084000000000005,0.23668874244175556,0.08878678769940511,0.21205321230059487
gamma,0.4,0.39752,0.3343408412376617,0.09902524987097311,0.29849475012902693
