dataset,regime,score_name,mean_correctness_auroc,std_correctness_auroc,mean_aurc,std_aurc,mean_coverage_at_test_risk_0_05,mean_coverage_at_test_risk_0_10,n_seeds
cifar10,asym20,energy,0.726465563733918,0.010393478358133505,0.1024016897105141,0.003577810717258141,0.09836666666666666,0.5451666666666667,3
cifar10,asym20,entropy,0.7832733653319371,0.002614130879241821,0.08152734222481857,0.003966660398412668,0.35266666666666663,0.6839666666666666,3
cifar10,asym20,margin,0.7798037672735746,0.0035851543648108652,0.08189381461903966,0.004311643065830097,0.3506,0.6795,3
cifar10,asym20,maxlogit,0.7358042677070648,0.008926827210185116,0.09991747508459221,0.003437488174071911,0.11173333333333334,0.5785333333333332,3
cifar10,asym20,msp,0.7816626993907869,0.0030810348566796954,0.0817010477612554,0.00412455943858795,0.3551,0.6795666666666667,3
cifar10,clean,energy,0.8968846005770191,0.0031256517109496157,0.009145390828846944,0.00011747749497067182,0.9965666666666667,1.0,3
cifar10,clean,entropy,0.9250529787612155,0.0023414450086223595,0.006554739513453907,0.00015153672624378933,0.997,1.0,3
cifar10,clean,margin,0.9278338353056754,0.0020587091410894267,0.006264279062130826,0.00014097416682090145,0.9962333333333334,1.0,3
cifar10,clean,maxlogit,0.8987094015823699,0.0031790873195272984,0.009042529691721226,0.00011137659886741808,0.9964666666666666,1.0,3
cifar10,clean,msp,0.9261039022782359,0.0022877240580232174,0.006453968997108826,0.00015626276369057828,0.9968666666666667,1.0,3
cifar10,sym35,energy,0.7457597484026733,0.006123962283166051,0.1670221242361871,0.008969198326307387,0.055433333333333334,0.2833333333333333,3
cifar10,sym35,entropy,0.7722390672193122,0.005650477471892973,0.15416024082763646,0.00961597783312532,0.10186666666666666,0.35390000000000005,3
cifar10,sym35,margin,0.770178890369776,0.005356753612586093,0.15477118875485732,0.009639647554018449,0.10026666666666667,0.3489,3
cifar10,sym35,maxlogit,0.7539888414616378,0.005870797598311372,0.16396234384362893,0.009155632328615824,0.055400000000000005,0.2947666666666667,3
cifar10,sym35,msp,0.7727140671902587,0.005572212483192444,0.15403387043061392,0.009643366750464392,0.10160000000000001,0.3526,3
cifar100,asym20,energy,0.7964783691381433,0.001615827110308243,0.1609225154867491,0.0033379504150634082,0.14193333333333333,0.3283,3
cifar100,asym20,entropy,0.8302741594771863,0.001636126824450929,0.1410842032335694,0.0016546196752769292,0.2751666666666666,0.45059999999999995,3
cifar100,asym20,margin,0.8267221186736545,0.001491694638795381,0.1427493147027595,0.0014898992642220943,0.25903333333333334,0.4465666666666667,3
cifar100,asym20,maxlogit,0.8054558243901164,0.0020413393321965156,0.15706985561798628,0.003404099663933606,0.1487333333333333,0.3473333333333333,3
cifar100,asym20,msp,0.83399011998446,0.0015286415164114057,0.1401244094883525,0.001598540497774087,0.2702,0.44926666666666665,3
cifar100,clean,energy,0.8310929012501905,0.004418628619855057,0.07680237942084318,0.00177937251536949,0.4661,0.6763,3
cifar100,clean,entropy,0.8632551069893285,0.0037733824364059687,0.06525168704819567,0.0014212016428693703,0.5762,0.7147000000000001,3
cifar100,clean,margin,0.873995462404093,0.002522493201329299,0.06227096483118256,0.001110862172583619,0.5920666666666666,0.7411666666666666,3
cifar100,clean,maxlogit,0.8401682749046963,0.0042169443908676475,0.07439211586943524,0.0017244987886580673,0.48403333333333337,0.6901,3
cifar100,clean,msp,0.8730958386114489,0.0032619121616000797,0.06274450155412675,0.001296063994936856,0.5882333333333334,0.7367333333333334,3
cifar100,sym35,energy,0.7953621248609283,0.0030837404950182254,0.2439253535716719,0.001489911888984106,0.06949999999999999,0.18846666666666664,3
cifar100,sym35,entropy,0.8225076029893584,0.0043503339764846514,0.22667442302248797,0.002307706427364727,0.11056666666666666,0.25906666666666667,3
cifar100,sym35,margin,0.8215439822399772,0.005654595981817435,0.22648905789070964,0.0027037693627307274,0.11426666666666667,0.2689333333333333,3
cifar100,sym35,maxlogit,0.8083985819261746,0.0035939423788757543,0.2379184142632684,0.0017942977426375758,0.07046666666666666,0.19540000000000002,3
cifar100,sym35,msp,0.8272525904924101,0.005042199217010588,0.22457611468625846,0.0025993398960678918,0.113,0.2680666666666667,3
