dataset,regime,noise_type,noise_rate,seed,split,score_name,correctness_auroc,aurc,coverage_at_test_risk_0_05,coverage_at_test_risk_0_10,risk_at_coverage_0_10,risk_at_coverage_0_25,risk_at_coverage_0_50,risk_at_coverage_0_75,risk_at_coverage_1_00,n_examples,n_correct,accuracy,reason,run_dir
cifar100,asym20,asymmetric,0.2,0,test,msp,0.8322920716291639,0.14169163982469432,0.264,0.4463,0.017,0.0484,0.1196,0.22813333333333333,0.3523,10000,6477,0.6477,ok,runs/srcc_cifar100_asym20_seed0
cifar100,asym20,asymmetric,0.2,0,test,entropy,0.828429455242641,0.1428228377437315,0.2623,0.4485,0.015,0.0484,0.1216,0.232,0.3523,10000,6477,0.6477,ok,runs/srcc_cifar100_asym20_seed0
cifar100,asym20,asymmetric,0.2,0,test,margin,0.8251102582640177,0.14418810262707202,0.2583,0.4426,0.02,0.0492,0.1214,0.23373333333333332,0.3523,10000,6477,0.6477,ok,runs/srcc_cifar100_asym20_seed0
cifar100,asym20,asymmetric,0.2,0,test,energy,0.7946151825860724,0.16428296885209312,0.1189,0.3273,0.047,0.0824,0.1534,0.24133333333333334,0.3523,10000,6477,0.6477,ok,runs/srcc_cifar100_asym20_seed0
cifar100,asym20,asymmetric,0.2,0,test,maxlogit,0.8031623591256399,0.1604697811051759,0.1243,0.3521,0.045,0.0776,0.148,0.2368,0.3523,10000,6477,0.6477,ok,runs/srcc_cifar100_asym20_seed0
cifar100,asym20,asymmetric,0.2,1,test,msp,0.8352565393261957,0.13849629830026128,0.2651,0.4534,0.025,0.048,0.1164,0.22,0.3471,10000,6529,0.6529,ok,runs/srcc_cifar100_asym20_seed1
cifar100,asym20,asymmetric,0.2,1,test,entropy,0.8308433675714657,0.13952886207229515,0.2722,0.4591,0.027,0.046,0.1182,0.22533333333333333,0.3471,10000,6529,0.6529,ok,runs/srcc_cifar100_asym20_seed1
cifar100,asym20,asymmetric,0.2,1,test,margin,0.8280539599073504,0.14121308734316598,0.2458,0.4485,0.024,0.0508,0.1158,0.22266666666666668,0.3471,10000,6529,0.6529,ok,runs/srcc_cifar100_asym20_seed1
cifar100,asym20,asymmetric,0.2,1,test,energy,0.7974953975038301,0.15760753259658528,0.1465,0.35,0.033,0.0788,0.1418,0.23546666666666666,0.3471,10000,6529,0.6529,ok,runs/srcc_cifar100_asym20_seed1
cifar100,asym20,asymmetric,0.2,1,test,maxlogit,0.8070738096930659,0.15366159707648008,0.1563,0.3627,0.031,0.076,0.136,0.2296,0.3471,10000,6529,0.6529,ok,runs/srcc_cifar100_asym20_seed1
cifar100,asym20,asymmetric,0.2,2,test,msp,0.8344217489980201,0.140185290340102,0.2815,0.4481,0.021,0.0436,0.1178,0.22626666666666667,0.351,10000,6490,0.649,ok,runs/srcc_cifar100_asym20_seed2
cifar100,asym20,asymmetric,0.2,2,test,entropy,0.8315496556174522,0.1409009098846816,0.291,0.4442,0.021,0.0424,0.1196,0.2296,0.351,10000,6490,0.649,ok,runs/srcc_cifar100_asym20_seed2
cifar100,asym20,asymmetric,0.2,2,test,margin,0.8270021378495955,0.14284675413804052,0.273,0.4486,0.024,0.0464,0.1206,0.23106666666666667,0.351,10000,6490,0.649,ok,runs/srcc_cifar100_asym20_seed2
