dataset,regime,score_name,coverage_level,mean_risk,std_risk,n_seeds
cifar10,asym20,energy,0.1,0.055999999999999994,0.005000000000000001,3
cifar10,asym20,energy,0.25,0.06373333333333332,0.0030022213997860517,3
cifar10,asym20,energy,0.5,0.0938,0.003218695387886218,3
cifar10,asym20,energy,0.75,0.13542222222222222,0.00438245660856168,3
cifar10,asym20,energy,1.0,0.1980666666666667,0.005124776417887258,3
cifar10,asym20,entropy,0.1,0.034333333333333334,0.005131601439446885,3
cifar10,asym20,entropy,0.25,0.04106666666666667,0.0028095076674273974,3
cifar10,asym20,entropy,0.5,0.06486666666666667,0.002193931022920577,3
cifar10,asym20,entropy,0.75,0.11484444444444446,0.004486688129385682,3
cifar10,asym20,entropy,1.0,0.1980666666666667,0.005124776417887258,3
cifar10,asym20,margin,0.1,0.03133333333333333,0.006027713773341706,3
cifar10,asym20,margin,0.25,0.04066666666666666,0.0019731531449265014,3
cifar10,asym20,margin,0.5,0.06546666666666666,0.0024110855093366834,3
cifar10,asym20,margin,0.75,0.11626666666666667,0.0049870944558040135,3
cifar10,asym20,margin,1.0,0.1980666666666667,0.005124776417887258,3
cifar10,asym20,maxlogit,0.1,0.055333333333333325,0.004509249752822894,3
cifar10,asym20,maxlogit,0.25,0.06280000000000001,0.0028844410203711923,3
cifar10,asym20,maxlogit,0.5,0.0894,0.0015874507866387552,3
cifar10,asym20,maxlogit,0.75,0.13115555555555555,0.004541822117625052,3
cifar10,asym20,maxlogit,1.0,0.1980666666666667,0.005124776417887258,3
cifar10,asym20,msp,0.1,0.034333333333333334,0.005131601439446885,3
cifar10,asym20,msp,0.25,0.04093333333333333,0.003233161507461906,3
cifar10,asym20,msp,0.5,0.06506666666666666,0.0022030282189144353,3
cifar10,asym20,msp,0.75,0.11524444444444444,0.004964466328410932,3
cifar10,asym20,msp,1.0,0.1980666666666667,0.005124776417887258,3
cifar10,clean,energy,0.1,0.004,0.001,3
cifar10,clean,energy,0.25,0.005066666666666666,0.0012220201853215575,3
cifar10,clean,energy,0.5,0.005866666666666667,0.0010263202878893769,3
cifar10,clean,energy,0.75,0.008177777777777779,0.0009075812380738728,3
cifar10,clean,energy,1.0,0.0519,9.99999999999994e-05,3
cifar10,clean,entropy,0.1,0.0016666666666666668,0.0005773502691896258,3
cifar10,clean,entropy,0.25,0.0024,0.0006928203230275509,3
cifar10,clean,entropy,0.5,0.002933333333333333,0.0004163331998932265,3
cifar10,clean,entropy,0.75,0.0048,0.0006666666666666665,3
cifar10,clean,entropy,1.0,0.0519,9.99999999999994e-05,3
cifar10,clean,margin,0.1,0.0016666666666666668,0.0005773502691896258,3
cifar10,clean,margin,0.25,0.002133333333333333,0.00046188021535170046,3
cifar10,clean,margin,0.5,0.0022666666666666664,0.00023094010767585018,3
cifar10,clean,margin,0.75,0.004355555555555556,0.0006842135252595844,3
cifar10,clean,margin,1.0,0.0519,9.99999999999994e-05,3
cifar10,clean,maxlogit,0.1,0.004,0.001,3
cifar10,clean,maxlogit,0.25,0.005066666666666666,0.0012220201853215575,3
cifar10,clean,maxlogit,0.5,0.0058000000000000005,0.0010583005244258362,3
cifar10,clean,maxlogit,0.75,0.008,0.0010413666234542205,3
cifar10,clean,maxlogit,1.0,0.0519,9.99999999999994e-05,3
cifar10,clean,msp,0.1,0.0016666666666666668,0.0005773502691896258,3
cifar10,clean,msp,0.25,0.0022666666666666664,0.00023094010767585018,3
cifar10,clean,msp,0.5,0.002733333333333333,0.00030550504633038947,3
cifar10,clean,msp,0.75,0.004622222222222222,0.0006842135252595844,3
cifar10,clean,msp,1.0,0.0519,9.99999999999994e-05,3
cifar10,sym35,energy,0.1,0.06133333333333333,0.011015141094572202,3
cifar10,sym35,energy,0.25,0.09426666666666667,0.006989515958443278,3
cifar10,sym35,energy,0.5,0.1612,0.009236882591004386,3
cifar10,sym35,energy,0.75,0.23693333333333333,0.008662563131083097,3
cifar10,sym35,energy,1.0,0.3213333333333333,0.010165792312128639,3
cifar10,sym35,entropy,0.1,0.04966666666666667,0.009609023536933048,3
cifar10,sym35,entropy,0.25,0.08013333333333333,0.00760350796233773,3
cifar10,sym35,entropy,0.5,0.14046666666666666,0.010202614044122876,3
cifar10,sym35,entropy,0.75,0.22564444444444443,0.009618808735050386,3
