dataset,regime,alpha,baseline_name,seed_count,certified_seed_count,certified_seeds,mean_certified_coverage_all_seeds,min_certified_coverage_all_seeds,mean_certified_coverage_certified_seeds,mean_cert_risk_ucb_on_best_certified,mean_test_risk_on_best_certified,mean_test_coverage_on_best_certified,best_failed_cert_risk_ucb,best_failed_cert_coverage_lcb,failure_reason,test_risk_le_alpha_but_cert_risk_ucb_gt_alpha,coverage_collapse_count
cifar10,asym20,0.05,full_coverage,3,0,,0.0,0.0,,,,,0.2050122996224786,0.99880242475684,high_cert_error_ucb,False,3.0
cifar10,asym20,0.05,ltt_bonferroni,3,0,,0.0,0.0,,,,,0.2236830263392802,0.9960464409536964,high_cert_error_ucb,False,3.0
cifar10,asym20,0.05,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.0780082348372506,0.4295007130162171,high_cert_error_ucb,False,3.0
cifar10,asym20,0.05,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.0820532025630924,0.4247291885636531,high_cert_error_ucb,False,3.0
cifar10,asym20,0.05,srcc_main,3,0,,0.0,0.0,,,,,0.0820532025630924,0.4247291885636531,high_cert_error_ucb,False,3.0
cifar10,asym20,0.05,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.0780082348372506,0.4295007130162171,high_cert_error_ucb,False,3.0
cifar10,asym20,0.1,full_coverage,3,0,,0.0,0.0,,,,,0.2050122996224786,0.99880242475684,high_cert_error_ucb,False,3.0
cifar10,asym20,0.1,ltt_bonferroni,3,3,0 1 2,0.5013375054389559,0.4196664836192861,0.5013375054389559,0.099124969161679,0.0727146316213826,0.5407000000000001,,,,,
cifar10,asym20,0.1,naive_empirical_threshold,3,0,,0.0,0.0,,,,,0.1190231967668846,0.6963181854600549,high_cert_error_ucb,False,3.0
cifar10,asym20,0.1,no_buffer_proposal,3,0,,0.0,0.0,,,,,0.1228244127566729,0.6918413386365712,high_cert_error_ucb,False,3.0
cifar10,asym20,0.1,srcc_main,3,3,0 1 2,0.5143017331417302,0.4829264284698527,0.5143017331417302,0.0827280577938565,0.0692250752033134,0.5309,,,,,
cifar10,asym20,0.1,uncertified_empirical_threshold,3,0,,0.0,0.0,,,,,0.1190231967668846,0.6963181854600549,high_cert_error_ucb,False,3.0
cifar10,clean,0.05,clean_trained_upper_bound,3,3,0 1 2,0.9794419466886622,0.972696238700284,0.9794419466886622,0.0451261026396594,0.0445095087123224,0.9851333333333332,,,,,
cifar10,clean,0.05,full_coverage,3,1,1,0.3329341415856133,0.0,0.99880242475684,0.0492095653050631,0.052,1.0,0.0509265662787497,0.99880242475684,high_cert_error_ucb,False,2.0
cifar10,clean,0.05,ltt_bonferroni,3,3,0 1 2,0.9654645846167984,0.9618001851174044,0.9654645846167984,0.0496060123418098,0.0419451403426244,0.9790666666666666,,,,,
cifar10,clean,0.05,naive_empirical_threshold,3,2,0 1,0.6630326984988518,0.0,0.9945490477482776,0.0478522803532754,0.0501351568785197,0.9972,0.0513554290501352,0.99880242475684,high_cert_error_ucb,False,1.0
cifar10,clean,0.05,no_buffer_proposal,3,1,0,0.3297531732809456,0.0,0.989259519842837,0.0486154270411234,0.0482703137570394,0.9944,0.051377959172236,0.998363602535883,high_cert_error_ucb,False,2.0
cifar10,clean,0.05,srcc_main,3,3,0 1 2,0.9794419466886622,0.972696238700284,0.9794419466886622,0.0451261026396594,0.0445095087123224,0.9851333333333332,,,,,
cifar10,clean,0.05,uncertified_empirical_threshold,3,2,0 1,0.6630326984988518,0.0,0.9945490477482776,0.0478522803532754,0.0501351568785197,0.9972,0.0513554290501352,0.99880242475684,high_cert_error_ucb,False,1.0
cifar10,clean,0.1,clean_trained_upper_bound,3,3,0 1 2,0.9981036233451254,0.9975836649636104,0.9981036233451254,0.052698009136076,0.051490266372922,0.9995333333333334,,,,,
cifar10,clean,0.1,full_coverage,3,3,0 1 2,0.99880242475684,0.99880242475684,0.99880242475684,0.0504971868779826,0.0519,1.0,,,,,
cifar10,clean,0.1,ltt_bonferroni,3,3,0 1 2,0.9960464409536964,0.9960464409536964,0.9960464409536964,0.0611861106816766,0.0516187171570009,0.9996333333333332,,,,,
cifar10,clean,0.1,naive_empirical_threshold,3,3,0 1 2,0.9985695746483072,0.998103874431242,0.9985695746483072,0.0505039537285098,0.051490266372922,0.9995333333333334,,,,,
cifar10,clean,0.1,no_buffer_proposal,3,3,0 1 2,0.9981036233451254,0.9975836649636104,0.9981036233451254,0.052698009136076,0.051490266372922,0.9995333333333334,,,,,
cifar10,clean,0.1,srcc_main,3,3,0 1 2,0.9981036233451254,0.9975836649636104,0.9981036233451254,0.052698009136076,0.051490266372922,0.9995333333333334,,,,,
cifar10,clean,0.1,uncertified_empirical_threshold,3,3,0 1 2,0.9985695746483072,0.998103874431242,0.9985695746483072,0.0505039537285098,0.051490266372922,0.9995333333333334,,,,,
cifar10,sym35,0.05,full_coverage,3,0,,0.0,0.0,,,,,0.3235490036861229,0.99880242475684,high_cert_error_ucb,False,3.0
