dataset,regime,noise_type,noise_rate,alpha,gamma,seed_count,row_count,certified_seed_count,mean_certified_coverage_all_seeds,mean_certified_coverage_certified_seeds,mean_cert_risk_ucb_certified_rows,mean_test_risk_certified_rows,gamma_label
cifar10,asym20,asymmetric,0.2,0.05,0.5,3,3,0,0.0,,,,buffered
cifar10,asym20,asymmetric,0.2,0.05,0.7,3,3,0,0.0,,,,buffered
cifar10,asym20,asymmetric,0.2,0.05,1.0,3,3,0,0.0,,,,no_buffer
cifar10,asym20,asymmetric,0.2,0.1,0.5,3,3,3,0.3881071207209871,0.3881071207209871,0.0702157879699296,0.0560357740044211,buffered
cifar10,asym20,asymmetric,0.2,0.1,0.7,3,3,3,0.5143017331417302,0.5143017331417302,0.0827280577938565,0.0692250752033134,buffered
cifar10,asym20,asymmetric,0.2,0.1,1.0,3,3,0,0.0,,,,no_buffer
cifar10,clean,symmetric,0.0,0.05,0.5,3,3,3,0.9422407489443184,0.9422407489443184,0.0318088474842437,0.0313170039965881,buffered
cifar10,clean,symmetric,0.0,0.05,0.7,3,3,3,0.9709095135721322,0.9709095135721322,0.040617078399275,0.0397223435801041,buffered
cifar10,clean,symmetric,0.0,0.05,1.0,3,3,1,0.3297531732809456,0.989259519842837,0.0486154270411234,0.0482703137570394,no_buffer
cifar10,clean,symmetric,0.0,0.1,0.5,3,3,3,0.9953289083048676,0.9953289083048676,0.0511864846869297,0.0507234379190131,buffered
cifar10,clean,symmetric,0.0,0.1,0.7,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076,0.051490266372922,buffered
cifar10,clean,symmetric,0.0,0.1,1.0,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076,0.051490266372922,no_buffer
cifar10,sym35,symmetric,0.35,0.05,0.5,3,3,0,0.0,,,,buffered
cifar10,sym35,symmetric,0.35,0.05,0.7,3,3,0,0.0,,,,buffered
cifar10,sym35,symmetric,0.35,0.05,1.0,3,3,0,0.0,,,,no_buffer
cifar10,sym35,symmetric,0.35,0.1,0.5,3,3,1,0.0338535998026107,0.1015607994078321,0.0919796140746519,0.0504273504273504,buffered
cifar10,sym35,symmetric,0.35,0.1,0.7,3,3,0,0.0,,,,buffered
cifar10,sym35,symmetric,0.35,0.1,1.0,3,3,0,0.0,,,,no_buffer
cifar100,asym20,asymmetric,0.2,0.05,0.5,3,3,1,0.0460492912090275,0.1381478736270826,0.0494857149328364,0.0278657378087397,buffered
cifar100,asym20,asymmetric,0.2,0.05,0.7,3,3,0,0.0,,,,buffered
cifar100,asym20,asymmetric,0.2,0.05,1.0,3,3,0,0.0,,,,no_buffer
cifar100,asym20,asymmetric,0.2,0.1,0.5,3,3,3,0.2251300196418647,0.2251300196418647,0.0794675050346113,0.0468970172728702,buffered
cifar100,asym20,asymmetric,0.2,0.1,0.7,3,3,2,0.1969940552489308,0.2954910828733962,0.0864514744756743,0.0655049238971298,buffered
cifar100,asym20,asymmetric,0.2,0.1,1.0,3,3,0,0.0,,,,no_buffer
cifar100,clean,symmetric,0.0,0.05,0.5,3,3,3,0.4353444313625376,0.4353444313625376,0.0453742332499711,0.0281426884975631,buffered
cifar100,clean,symmetric,0.0,0.05,0.7,3,3,1,0.1608422761376765,0.4825268284130296,0.0449057843331095,0.0325719960278053,buffered
cifar100,clean,symmetric,0.0,0.05,1.0,3,3,0,0.0,,,,no_buffer
cifar100,clean,symmetric,0.0,0.1,0.5,3,3,3,0.5660827774321662,0.5660827774321662,0.0683137932635545,0.049662974938065,buffered
cifar100,clean,symmetric,0.0,0.1,0.7,3,3,3,0.6390292779922078,0.6390292779922078,0.0850731851838436,0.0707612244722177,buffered
cifar100,clean,symmetric,0.0,0.1,1.0,3,3,0,0.0,,,,no_buffer
cifar100,sym35,symmetric,0.35,0.05,0.5,3,3,0,0.0,,,,buffered
cifar100,sym35,symmetric,0.35,0.05,0.7,3,3,0,0.0,,,,buffered
cifar100,sym35,symmetric,0.35,0.05,1.0,3,3,0,0.0,,,,no_buffer
cifar100,sym35,symmetric,0.35,0.1,0.5,3,3,2,0.0833035927606635,0.1249553891409952,0.0865940936960116,0.0622197909058606,buffered
cifar100,sym35,symmetric,0.35,0.1,0.7,3,3,0,0.0,,,,buffered
cifar100,sym35,symmetric,0.35,0.1,1.0,3,3,0,0.0,,,,no_buffer
