dataset,regime,noise_type,noise_rate,alpha,baseline_name,seed_count,row_count,certified_seed_count,mean_certified_coverage_all_seeds,mean_certified_coverage_certified_seeds,mean_cert_risk_ucb_certified_rows,mean_test_risk_certified_rows
cifar10,asym20,asymmetric,0.2,0.05,full_coverage,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,ltt_bonferroni,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,naive_empirical_threshold,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,no_buffer_proposal,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,srcc_main,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.1,full_coverage,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.1,ltt_bonferroni,3,3,3,0.5013375054389559,0.5013375054389559,0.099124969161679,0.0727146316213827
cifar10,asym20,asymmetric,0.2,0.1,naive_empirical_threshold,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.1,no_buffer_proposal,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.1,srcc_main,3,3,3,0.5143017331417302,0.5143017331417302,0.0827280577938565,0.0692250752033134
cifar10,clean,symmetric,0.0,0.05,clean_trained_upper_bound,3,3,3,0.9794419466886622,0.9794419466886622,0.0451261026396594,0.0445095087123224
cifar10,clean,symmetric,0.0,0.05,full_coverage,3,3,1,0.3329341415856133,0.99880242475684,0.0492095653050631,0.052
cifar10,clean,symmetric,0.0,0.05,ltt_bonferroni,3,3,3,0.9654645846167984,0.9654645846167984,0.0496060123418099,0.0419451403426244
cifar10,clean,symmetric,0.0,0.05,naive_empirical_threshold,3,3,2,0.6630326984988517,0.9945490477482776,0.0478522803532754,0.0501351568785197
cifar10,clean,symmetric,0.0,0.05,no_buffer_proposal,3,3,1,0.3297531732809456,0.989259519842837,0.0486154270411234,0.0482703137570394
cifar10,clean,symmetric,0.0,0.05,srcc_main,3,3,3,0.9794419466886622,0.9794419466886622,0.0451261026396594,0.0445095087123224
cifar10,clean,symmetric,0.0,0.1,clean_trained_upper_bound,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076,0.051490266372922
cifar10,clean,symmetric,0.0,0.1,full_coverage,3,3,3,0.99880242475684,0.99880242475684,0.0504971868779827,0.0519
cifar10,clean,symmetric,0.0,0.1,ltt_bonferroni,3,3,3,0.9960464409536964,0.9960464409536964,0.0611861106816766,0.0516187171570009
cifar10,clean,symmetric,0.0,0.1,naive_empirical_threshold,3,3,3,0.9985695746483072,0.9985695746483072,0.0505039537285098,0.051490266372922
cifar10,clean,symmetric,0.0,0.1,no_buffer_proposal,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076,0.051490266372922
cifar10,clean,symmetric,0.0,0.1,srcc_main,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076,0.051490266372922
cifar10,sym35,symmetric,0.35,0.05,full_coverage,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,ltt_bonferroni,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,naive_empirical_threshold,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,no_buffer_proposal,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,srcc_main,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,full_coverage,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,ltt_bonferroni,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,naive_empirical_threshold,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,no_buffer_proposal,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,srcc_main,3,3,1,0.0338535998026107,0.1015607994078321,0.0919796140746519,0.0504273504273504
cifar100,asym20,asymmetric,0.2,0.05,full_coverage,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,ltt_bonferroni,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,naive_empirical_threshold,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,no_buffer_proposal,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,srcc_main,3,3,1,0.0460492912090275,0.1381478736270826,0.0494857149328364,0.0278657378087397
cifar100,asym20,asymmetric,0.2,0.1,full_coverage,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.1,ltt_bonferroni,3,3,3,0.2253702055075679,0.2253702055075679,0.0965643445175865,0.0522935645223518
cifar100,asym20,asymmetric,0.2,0.1,naive_empirical_threshold,3,3,1,0.1303079393571622,0.3909238180714866,0.0991629921646532,0.090057636887608
cifar100,asym20,asymmetric,0.2,0.1,no_buffer_proposal,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.1,srcc_main,3,3,3,0.281908423941335,0.281908423941335,0.0889363849643974,0.0598736529684569
cifar100,clean,symmetric,0.0,0.05,clean_trained_upper_bound,3,3,3,0.4538150087865558,0.4538150087865558,0.0462936292894617,0.0305248196814208
cifar100,clean,symmetric,0.0,0.05,full_coverage,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.05,ltt_bonferroni,3,3,3,0.3628974075590161,0.3628974075590161,0.0495071190800883,0.0215997779364495
cifar100,clean,symmetric,0.0,0.05,naive_empirical_threshold,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.05,no_buffer_proposal,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.05,srcc_main,3,3,3,0.4538150087865558,0.4538150087865558,0.0462936292894617,0.0305248196814208
cifar100,clean,symmetric,0.0,0.1,clean_trained_upper_bound,3,3,3,0.6390292779922078,0.6390292779922078,0.0850731851838436,0.0707612244722177
cifar100,clean,symmetric,0.0,0.1,full_coverage,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.1,ltt_bonferroni,3,3,3,0.6237050623579524,0.6237050623579524,0.0976786105312305,0.0712954099584003
cifar100,clean,symmetric,0.0,0.1,naive_empirical_threshold,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.1,no_buffer_proposal,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.1,srcc_main,3,3,3,0.6390292779922078,0.6390292779922078,0.0850731851838436,0.0707612244722177
cifar100,sym35,symmetric,0.35,0.05,full_coverage,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,ltt_bonferroni,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,naive_empirical_threshold,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,no_buffer_proposal,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,srcc_main,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.1,full_coverage,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.1,ltt_bonferroni,3,3,2,0.0639967645145878,0.0959951467718817,0.0980838798160657,0.0570212007044608
cifar100,sym35,symmetric,0.35,0.1,naive_empirical_threshold,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.1,no_buffer_proposal,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.1,srcc_main,3,3,2,0.0833035927606635,0.1249553891409952,0.0865940936960116,0.0622197909058606
