dataset,regime,noise_type,noise_rate,alpha,score_name,seed_count,row_count,certified_seed_count,mean_certified_coverage_all_seeds,mean_certified_coverage_certified_seeds,mean_cert_risk_ucb_certified_rows,mean_test_risk_certified_rows
cifar10,asym20,asymmetric,0.2,0.05,energy,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,entropy,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,margin,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,maxlogit,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,msp,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.1,energy,3,3,3,0.2276748269467103,0.2276748269467103,0.0844207201328278,0.0625709806618318
cifar10,asym20,asymmetric,0.2,0.1,entropy,3,3,3,0.5143017331417301,0.5143017331417301,0.0827280577938566,0.0692250752033134
cifar10,asym20,asymmetric,0.2,0.1,margin,3,3,3,0.5042694911187692,0.5042694911187692,0.0842190351321923,0.0687097494536216
cifar10,asym20,asymmetric,0.2,0.1,maxlogit,3,3,3,0.386266328035203,0.386266328035203,0.094608429177922,0.0780988585053168
cifar10,asym20,asymmetric,0.2,0.1,msp,3,3,3,0.5077445349465018,0.5077445349465018,0.0835728036148915,0.0685297262872083
cifar10,clean,symmetric,0.0,0.05,energy,3,3,3,0.977467742938278,0.977467742938278,0.0444397557440704,0.0450186617169561
cifar10,clean,symmetric,0.0,0.05,entropy,3,3,3,0.9786278063805612,0.9786278063805612,0.0442702054997432,0.0437138359939574
cifar10,clean,symmetric,0.0,0.05,margin,3,3,3,0.9798133612597532,0.9798133612597532,0.0455595987949702,0.0443540497185518
cifar10,clean,symmetric,0.0,0.05,maxlogit,3,3,3,0.9803138416038852,0.9803138416038852,0.0453996536158469,0.0450531760636849
cifar10,clean,symmetric,0.0,0.05,msp,3,3,3,0.9797016955577956,0.9797016955577956,0.0451055440101918,0.0434198553866853
cifar10,clean,symmetric,0.0,0.1,energy,3,3,3,0.9981036233451254,0.9981036233451254,0.0526980091360761,0.051490266372922
cifar10,clean,symmetric,0.0,0.1,entropy,3,3,3,0.998363602535883,0.998363602535883,0.0526909578690354,0.0516187171570009
cifar10,clean,symmetric,0.0,0.1,margin,3,3,3,0.9964799240162714,0.9964799240162714,0.0521622239900847,0.0514693463247104
cifar10,clean,symmetric,0.0,0.1,maxlogit,3,3,3,0.9964799240162714,0.9964799240162714,0.0518707360440539,0.0510662790845778
cifar10,clean,symmetric,0.0,0.1,msp,3,3,3,0.9971453407065192,0.9971453407065192,0.0521423675939944,0.0513161693055409
cifar10,sym35,symmetric,0.35,0.05,energy,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,entropy,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,margin,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,maxlogit,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,msp,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,energy,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,entropy,3,3,2,0.079320439275482,0.1189806589132231,0.0903507620555811,0.0530193541025848
cifar10,sym35,symmetric,0.35,0.1,margin,3,3,1,0.0338535998026107,0.1015607994078321,0.0919796140746519,0.0504273504273504
cifar10,sym35,symmetric,0.35,0.1,maxlogit,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,msp,3,3,1,0.0304501729007509,0.0913505187022528,0.0774047616767789,0.0473484848484848
cifar100,asym20,asymmetric,0.2,0.05,energy,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,entropy,3,3,1,0.0423514839938013,0.127054451981404,0.0460590910541483,0.0238582140422631
cifar100,asym20,asymmetric,0.2,0.05,margin,3,3,1,0.0427335124446247,0.1282005373338742,0.0456766792427329,0.027192386131883
cifar100,asym20,asymmetric,0.2,0.05,maxlogit,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,msp,3,3,1,0.0460492912090275,0.1381478736270826,0.0494857149328364,0.0278657378087397
cifar100,asym20,asymmetric,0.2,0.1,energy,3,3,2,0.0877053134355132,0.1315579701532698,0.0855369586274219,0.0523994699719048
cifar100,asym20,asymmetric,0.2,0.1,entropy,3,3,3,0.280205774229207,0.280205774229207,0.0870886236450611,0.0592672402660129
cifar100,asym20,asymmetric,0.2,0.1,margin,3,3,3,0.2740805942560886,0.2740805942560886,0.0909553318201706,0.059803663021664
cifar100,asym20,asymmetric,0.2,0.1,maxlogit,3,3,2,0.1023423133286826,0.1535134699930239,0.0828225717953911,0.0555011803692136
cifar100,asym20,asymmetric,0.2,0.1,msp,3,3,3,0.276297786491215,0.276297786491215,0.0900463102534619,0.0580498024330596
cifar100,clean,symmetric,0.0,0.05,energy,3,3,3,0.2877597693557956,0.2877597693557956,0.0472140151207458,0.0281030635273523
cifar100,clean,symmetric,0.0,0.05,entropy,3,3,2,0.2941687550119872,0.4412531325179809,0.0453593112603071,0.0315400972138086
cifar100,clean,symmetric,0.0,0.05,margin,3,3,3,0.4498413285189496,0.4498413285189496,0.0445767346929011,0.0288862055822344
cifar100,clean,symmetric,0.0,0.05,maxlogit,3,3,2,0.1755674008005526,0.2633511012008289,0.0411537695077188,0.025086063787648
cifar100,clean,symmetric,0.0,0.05,msp,3,3,3,0.443322591620296,0.443322591620296,0.045954190467372,0.0299447562886671
cifar100,clean,symmetric,0.0,0.1,energy,3,3,3,0.5271312771164047,0.5271312771164047,0.0841885185147736,0.0669944049529468
cifar100,clean,symmetric,0.0,0.1,entropy,3,3,3,0.635275116024913,0.635275116024913,0.0929932409803372,0.0757414444326102
cifar100,clean,symmetric,0.0,0.1,margin,3,3,3,0.6394348244881375,0.6394348244881375,0.0845879061560293,0.0708256830732859
cifar100,clean,symmetric,0.0,0.1,maxlogit,3,3,3,0.5429211501491793,0.5429211501491793,0.0835867331918044,0.0674298110787339
cifar100,clean,symmetric,0.0,0.1,msp,3,3,3,0.6322815831214124,0.6322815831214124,0.0834704687660577,0.0688913254323662
cifar100,sym35,symmetric,0.35,0.05,energy,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,entropy,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,margin,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,maxlogit,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,msp,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.1,energy,3,3,2,0.0690979816467777,0.1036469724701666,0.0860186581381579,0.0721656541456318
cifar100,sym35,symmetric,0.35,0.1,entropy,3,3,2,0.080124008148213,0.1201860122223195,0.0785595682166087,0.0607921235544576
cifar100,sym35,symmetric,0.35,0.1,margin,3,3,2,0.0833035927606635,0.1249553891409953,0.0865940936960116,0.0622197909058606
cifar100,sym35,symmetric,0.35,0.1,maxlogit,3,3,2,0.0689735254572839,0.1034602881859259,0.0857025911222927,0.0715787787647495
cifar100,sym35,symmetric,0.35,0.1,msp,3,3,2,0.0819038557114434,0.1228557835671651,0.0826232138599608,0.0603506480815188
