dataset,regime,noise_type,noise_rate,seed,alpha,gamma,score_name,threshold,threshold_direction,baseline_name,baseline_equivalence,prop_coverage,prop_risk,prop_n,prop_k,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,reason,delta_total,delta_risk,delta_coverage,delta_allocation,certificate_scope,n_certified_candidates,delta_risk_per_row,delta_coverage_per_row,run_dir,model,epochs,delta,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,zero_error_min_cert_n,cert_n_minus_zero_error_min_n
cifar10,asym20,asymmetric,0.2,0,0.05,1.0,entropy,0.0159704120442747,<=,srcc_main,,0.3976,0.0492957746478873,994,49,965,47,0.0656310904888254,0.3652461868863348,False,0.0,0.3922,0.0537990821009688,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_asym20_seed0,resnet18,120,0.0166666666666666,0.0487046632124352,0.386,3922.0,211.0,0.8002,80.0,885.0
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,entropy,0.0406167304883139,<=,srcc_main,,0.5432,0.0699558173784977,1358,95,1332,86,0.0804105703905806,0.5113328522749978,True,0.5113328522749978,0.5335,0.0686035613870665,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_asym20_seed0,resnet18,120,0.0166666666666666,0.0645645645645645,0.5328,5335.0,366.0,0.8002,39.0,1293.0
cifar10,asym20,asymmetric,0.2,1,0.05,1.0,msp,0.9957764889383326,>=,srcc_main,,0.3816,0.0492662473794549,954,47,988,46,0.0629630708578711,0.3743459867129735,False,0.0,0.3743,0.0550360673256745,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.0166666666666666,0.0465587044534413,0.3952,3743.0,206.0,0.7979,80.0,908.0
cifar10,asym20,asymmetric,0.2,1,0.1,0.7,entropy,0.0287709301567091,<=,srcc_main,,0.528,0.0689393939393939,1320,91,1261,72,0.0726317859188633,0.4829264284698527,True,0.4829264284698527,0.496,0.0673387096774193,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.0166666666666666,0.0570975416336241,0.5044,4960.0,334.0,0.7979,39.0,1222.0
cifar10,asym20,asymmetric,0.2,2,0.05,1.0,msp,0.9918686759600834,>=,srcc_main,,0.472,0.0491525423728813,1180,58,1115,72,0.0820532025630924,0.4247291885636531,False,0.0,0.4589,0.0592721725866201,high_cert_error_ucb,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_asym20_seed2,resnet18,120,0.0166666666666666,0.0645739910313901,0.446,4589.0,272.0,0.8077,80.0,1035.0
cifar10,asym20,asymmetric,0.2,2,0.1,0.7,entropy,0.0444667940068843,<=,srcc_main,,0.5784,0.0698478561549101,1446,101,1425,112,0.0951418170721258,0.5486459186803401,True,0.5486459186803401,0.5632,0.0717329545454545,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_asym20_seed2,resnet18,120,0.0166666666666666,0.0785964912280701,0.57,5632.0,404.0,0.8077,39.0,1386.0
cifar10,clean,symmetric,0.0,0,0.05,1.0,energy,-4.156602306745967,<=,srcc_main,,0.9948,0.0490550864495375,2487,122,2484,98,0.0486154270411234,0.989259519842837,True,0.989259519842837,0.9944,0.0482703137570394,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed0,resnet18,120,0.0166666666666666,0.0394524959742351,0.9936,9944.0,480.0,0.9482,80.0,2404.0
cifar10,clean,symmetric,0.0,0,0.1,0.7,energy,-3.5614808400768005,<=,srcc_main,,1.0,0.0528,2500,132,2499,109,0.0531500003885623,0.9975836649636104,True,0.9975836649636104,0.9986,0.0505707991187662,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed0,resnet18,120,0.0166666666666666,0.0436174469787915,0.9996,9986.0,505.0,0.9482,39.0,2460.0
cifar10,clean,symmetric,0.0,1,0.05,0.7,entropy,0.3748917247781999,<=,srcc_main,,0.9848,0.0349309504467912,2462,86,2457,85,0.04331102087533,0.9763700815228658,True,0.9763700815228658,0.9832,0.0434296175752644,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed1,resnet18,120,0.0166666666666666,0.0345950345950345,0.9828,9832.0,427.0,0.948,80.0,2377.0
cifar10,clean,symmetric,0.0,1,0.1,0.5,energy,-3.193136326856295,<=,srcc_main,,1.0,0.0448,2500,112,2500,105,0.051377959172236,0.998363602535883,True,0.998363602535883,1.0,0.052,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed1,resnet18,120,0.0166666666666666,0.042,1.0,10000.0,520.0,0.948,39.0,2461.0
cifar10,clean,symmetric,0.0,2,0.05,0.7,margin,0.3743629242491985,>=,srcc_main,,0.9788,0.0339190845933796,2447,83,2449,85,0.043451860002525,0.972696238700284,True,0.972696238700284,0.9778,0.0418285948046635,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed2,resnet18,120,0.0166666666666666,0.0347080440996325,0.9796,9778.0,409.0,0.9481,80.0,2369.0
cifar10,clean,symmetric,0.0,2,0.1,0.5,energy,-2.8887997650792023,<=,srcc_main,,1.0,0.0452,2500,113,2500,110,0.0535660678474299,0.998363602535883,True,0.998363602535883,1.0,0.0519,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed2,resnet18,120,0.0166666666666666,0.044,1.0,10000.0,519.0,0.9481,39.0,2461.0
