dataset,regime,alpha,requested_budget,gamma,score_name,row_count,certification_rate,mean_certified_coverage_at_alpha,mean_cert_risk_ucb,mean_test_risk,mean_test_coverage
cifar10,asym20,0.05,250,1.0,entropy,5,0.0,0.0,0.2123271864448223,0.0481523392161546,0.33262
cifar10,asym20,0.05,500,0.7,entropy,5,0.2,0.0469660096032522,0.0970506067830223,0.0465480103790922,0.3097399999999999
cifar10,asym20,0.05,1000,0.5,msp,5,0.0,0.0,0.0742830664554817,0.0372209198589401,0.1861999999999999
cifar10,asym20,0.05,1500,0.7,entropy,5,0.0,0.0,0.0683589624948798,0.0430622454686072,0.2732
cifar10,asym20,0.05,2000,0.7,entropy,5,0.0,0.0,0.0638584971598217,0.0403528781664997,0.24592
cifar10,asym20,0.05,full,0.7,entropy,5,0.0,0.0,0.0571282705204555,0.0427480916030534,0.262
cifar10,asym20,0.1,250,0.7,margin,5,0.4,0.1683770559130607,0.1122635004285701,0.065283601022058,0.49358
cifar10,asym20,0.1,500,0.5,margin,5,0.6,0.2197572752483563,0.1002457934751341,0.0587264990395714,0.42648
cifar10,asym20,0.1,1000,0.5,entropy,5,1.0,0.3742704493947778,0.0825884965308987,0.0564151559729186,0.41286
cifar10,asym20,0.1,1500,0.7,msp,5,1.0,0.5120158206296741,0.0923115244488449,0.0713280263832759,0.5438799999999999
cifar10,asym20,0.1,2000,0.7,entropy,5,1.0,0.4970980505679658,0.0865865807070108,0.067202552136846,0.52466
cifar10,asym20,0.1,full,0.7,entropy,5,1.0,0.5086730538065272,0.0824694898882702,0.0686035613870665,0.5335
cifar10,sym35,0.05,250,1.0,margin,5,0.0,0.0,0.3279722138054942,0.0509203268389079,0.1328
cifar10,sym35,0.05,500,1.0,margin,5,0.0,0.0,0.2482408327610026,0.0391376756008279,0.0711
cifar10,sym35,0.05,1000,1.0,maxlogit,5,0.0,0.0,0.1568982479143728,0.0582595975122061,0.08778
cifar10,sym35,0.05,1500,1.0,entropy,5,0.0,0.0,0.1360679612670414,0.0469160894741965,0.11402
cifar10,sym35,0.05,2000,1.0,margin,5,0.0,0.0,0.1160340800176831,0.048739307898242,0.10224
cifar10,sym35,0.05,full,0.7,margin,5,0.0,0.0,0.1050060816798927,0.048076923076923,0.052
cifar10,sym35,0.1,250,1.0,margin,5,0.0,0.0,0.2052771771716643,0.1135502447269578,0.39706
cifar10,sym35,0.1,500,1.0,entropy,5,0.0,0.0,0.1399546927806873,0.0766120856859731,0.24724
cifar10,sym35,0.1,1000,0.7,margin,5,0.2,0.0257189208868701,0.1345366469128276,0.0571097428624275,0.15046
cifar10,sym35,0.1,1500,1.0,entropy,5,0.2,0.0581440551795256,0.1241989240238244,0.0966463101031467,0.33704
