dataset,regime,alpha,requested_budget,gamma,score_name,row_count,certification_rate,mean_certified_coverage_at_alpha,mean_cert_risk_ucb,mean_test_risk,mean_test_coverage
cifar10,asym20,0.05,1000,0.5,energy,5,0.0,0.0,0.29214237390362957,0.055994756600936044,0.08696000000000001
cifar10,asym20,0.05,1000,0.5,entropy,5,0.0,0.0,0.07721024039265476,0.03777492225999867,0.19052000000000002
cifar10,asym20,0.05,1000,0.5,margin,5,0.0,0.0,0.0774015898046307,0.03846649939935765,0.19302000000000002
cifar10,asym20,0.05,1000,0.5,maxlogit,5,0.0,0.0,0.3076973698023479,0.03949863612977502,0.08832
cifar10,asym20,0.05,1000,0.5,msp,5,0.0,0.0,0.07428306645548174,0.03722091985894013,0.18619999999999998
cifar10,asym20,0.05,1000,0.7,energy,5,0.0,0.0,0.15003145120100733,0.049108169666484604,0.11832000000000001
cifar10,asym20,0.05,1000,0.7,entropy,5,0.0,0.0,0.07796379602070326,0.046611454750771504,0.30888
cifar10,asym20,0.05,1000,0.7,margin,5,0.0,0.0,0.08042570284903258,0.045214509844575444,0.28104
cifar10,asym20,0.05,1000,0.7,maxlogit,5,0.0,0.0,0.14712515304775456,0.05007102424801935,0.12517999999999999
cifar10,asym20,0.05,1000,0.7,msp,5,0.0,0.0,0.07818379787051256,0.045744330276248676,0.29986
cifar10,asym20,0.05,1000,1.0,energy,5,0.0,0.0,0.11770253169396258,0.05407452765399499,0.17376
cifar10,asym20,0.05,1000,1.0,entropy,5,0.0,0.0,0.08258849653089877,0.056415155972918615,0.41286000000000006
cifar10,asym20,0.05,1000,1.0,margin,5,0.0,0.0,0.08126242097530836,0.05714581011136877,0.40724
cifar10,asym20,0.05,1000,1.0,maxlogit,5,0.0,0.0,0.12039246497056318,0.055279397399153704,0.19358
cifar10,asym20,0.05,1000,1.0,msp,5,0.0,0.0,0.08120430875140754,0.0562675036056007,0.40952
cifar10,asym20,0.05,1500,0.5,energy,5,0.0,0.0,0.1317073993283886,0.04608149421844214,0.08056
cifar10,asym20,0.05,1500,0.5,entropy,5,0.0,0.0,0.07882710034557137,0.03872204440399128,0.20004
cifar10,asym20,0.05,1500,0.5,margin,5,0.0,0.0,0.07431342242003139,0.040368766095277106,0.20822
cifar10,asym20,0.05,1500,0.5,maxlogit,5,0.0,0.0,0.13611402195072014,0.0476689893353562,0.07908000000000001
cifar10,asym20,0.05,1500,0.5,msp,5,0.0,0.0,0.0741762751318902,0.03908134312185885,0.1968
cifar10,asym20,0.05,1500,0.7,energy,5,0.0,0.0,0.11254271896604669,0.04923032449848365,0.12918000000000002
