dataset,regime,noise_type,noise_rate,seed,alpha,gamma,score_name,requested_budget,actual_prop_size,actual_cert_size,subsample_seed,prop_n,prop_k,prop_coverage,prop_risk,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,reason,delta,delta_total,delta_risk,delta_coverage,delta_allocation,threshold,threshold_direction,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,certificate_scope,n_certified_candidates,zero_error_min_cert_n,cert_n_minus_zero_error_min_n,run_dir
cifar10,asym20,asymmetric,0.2,0,0.05,0.5,msp,250,250,250,0,1,0,0.004,0.0,4,0,0.6978624602643232,0.003133881164318331,False,0.0,0.0087,0.022988505747126436,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9999485299548192,>=,0.0,0.016,87,2,0.8002,simultaneous_rows,3,94,-90,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,0.7,msp,250,250,250,0,1,0,0.004,0.0,4,0,0.6978624602643232,0.003133881164318331,False,0.0,0.0087,0.022988505747126436,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9999485299548192,>=,0.0,0.016,87,2,0.8002,simultaneous_rows,3,94,-90,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,1.0,msp,250,250,250,0,1,0,0.004,0.0,4,0,0.6978624602643232,0.003133881164318331,False,0.0,0.0087,0.022988505747126436,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9999485299548192,>=,0.0,0.016,87,2,0.8002,simultaneous_rows,3,94,-90,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,0.5,entropy,250,250,250,0,1,0,0.004,0.0,5,0,0.6161480503626225,0.004915427463067672,False,0.0,0.0116,0.017241379310344827,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.0003198312319639873,<=,0.0,0.02,116,2,0.8002,simultaneous_rows,3,94,-89,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,0.7,entropy,250,250,250,0,1,0,0.004,0.0,5,0,0.6161480503626225,0.004915427463067672,False,0.0,0.0116,0.017241379310344827,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.0003198312319639873,<=,0.0,0.02,116,2,0.8002,simultaneous_rows,3,94,-89,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,1.0,entropy,250,250,250,0,1,0,0.004,0.0,5,0,0.6161480503626225,0.004915427463067672,False,0.0,0.0116,0.017241379310344827,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.0003198312319639873,<=,0.0,0.02,116,2,0.8002,simultaneous_rows,3,94,-89,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,0.5,margin,250,250,250,0,1,0,0.004,0.0,4,0,0.6978624602643232,0.003133881164318331,False,0.0,0.0084,0.0,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9999223762318872,>=,0.0,0.016,84,0,0.8002,simultaneous_rows,3,94,-90,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,0.7,margin,250,250,250,0,1,0,0.004,0.0,4,0,0.6978624602643232,0.003133881164318331,False,0.0,0.0084,0.0,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9999223762318872,>=,0.0,0.016,84,0,0.8002,simultaneous_rows,3,94,-90,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,1.0,margin,250,250,250,0,1,0,0.004,0.0,4,0,0.6978624602643232,0.003133881164318331,False,0.0,0.0084,0.0,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9999223762318872,>=,0.0,0.016,84,0,0.8002,simultaneous_rows,3,94,-90,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,0.5,energy,250,250,250,0,0,0,0.0,,0,0,1.0,0.0,False,0.0,0.0,,no_proposal_candidate,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,,<=,,0.0,0,0,0.8002,simultaneous_rows,3,94,-94,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,0.7,energy,250,250,250,0,0,0,0.0,,0,0,1.0,0.0,False,0.0,0.0,,no_proposal_candidate,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,,<=,,0.0,0,0,0.8002,simultaneous_rows,3,94,-94,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,1.0,energy,250,250,250,0,0,0,0.0,,0,0,1.0,0.0,False,0.0,0.0,,no_proposal_candidate,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,,<=,,0.0,0,0,0.8002,simultaneous_rows,3,94,-94,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,0.5,maxlogit,250,250,250,0,0,0,0.0,,0,0,1.0,0.0,False,0.0,0.0,,no_proposal_candidate,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,,>=,,0.0,0,0,0.8002,simultaneous_rows,3,94,-94,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,0.7,maxlogit,250,250,250,0,0,0,0.0,,0,0,1.0,0.0,False,0.0,0.0,,no_proposal_candidate,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,,>=,,0.0,0,0,0.8002,simultaneous_rows,3,94,-94,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.05,1.0,maxlogit,250,250,250,0,0,0,0.0,,0,0,1.0,0.0,False,0.0,0.0,,no_proposal_candidate,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,,>=,,0.0,0,0,0.8002,simultaneous_rows,3,94,-94,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,msp,250,250,250,0,1,0,0.004,0.0,4,0,0.6978624602643232,0.003133881164318331,False,0.0,0.0087,0.022988505747126436,insufficient_cert_n,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9999485299548192,>=,0.0,0.016,87,2,0.8002,simultaneous_rows,3,46,-42,runs/srcc_cifar10_asym20_seed0
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,msp,250,250,250,0,116,8,0.464,0.06896551724137931,116,5,0.11128271393950309,0.3876438929624229,False,0.0,0.45,0.060444444444444446,high_cert_error_ucb,0.008333333333333333,0.05,0.008333333333333333,0.008333333333333333,joint_split,0.9913846921979319,>=,0.04310344827586207,0.464,4500,272,0.8002,simultaneous_rows,3,46,70,runs/srcc_cifar10_asym20_seed0
