dataset,regime,noise_type,noise_rate,seed,alpha,gamma,score_name,threshold,threshold_direction,baseline_name,baseline_equivalence,prop_coverage,prop_risk,prop_n,prop_k,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,reason,delta_total,delta_risk,delta_coverage,delta_allocation,certificate_scope,n_certified_candidates,delta_risk_per_row,delta_coverage_per_row,run_dir,model,epochs,delta,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,zero_error_min_cert_n,cert_n_minus_zero_error_min_n
cifar10,clean,symmetric,0.0,0,0.05,1.0,energy,-4.156602306745967,<=,clean_trained_upper_bound,,0.9948,0.0490550864495375,2487,122,2484,98,0.0486154270411234,0.989259519842837,True,0.989259519842837,0.9944,0.0482703137570394,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed0,resnet18,120,0.0166666666666666,0.0394524959742351,0.9936,9944.0,480.0,0.9482,80.0,2404.0
cifar10,clean,symmetric,0.0,0,0.1,0.7,energy,-3.5614808400768005,<=,clean_trained_upper_bound,,1.0,0.0528,2500,132,2499,109,0.0531500003885623,0.9975836649636104,True,0.9975836649636104,0.9986,0.0505707991187662,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed0,resnet18,120,0.0166666666666666,0.0436174469787915,0.9996,9986.0,505.0,0.9482,39.0,2460.0
cifar10,clean,symmetric,0.0,1,0.05,0.7,entropy,0.3748917247781999,<=,clean_trained_upper_bound,,0.9848,0.0349309504467912,2462,86,2457,85,0.04331102087533,0.9763700815228658,True,0.9763700815228658,0.9832,0.0434296175752644,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed1,resnet18,120,0.0166666666666666,0.0345950345950345,0.9828,9832.0,427.0,0.948,80.0,2377.0
cifar10,clean,symmetric,0.0,1,0.1,0.5,energy,-3.193136326856295,<=,clean_trained_upper_bound,,1.0,0.0448,2500,112,2500,105,0.051377959172236,0.998363602535883,True,0.998363602535883,1.0,0.052,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed1,resnet18,120,0.0166666666666666,0.042,1.0,10000.0,520.0,0.948,39.0,2461.0
cifar10,clean,symmetric,0.0,2,0.05,0.7,margin,0.3743629242491985,>=,clean_trained_upper_bound,,0.9788,0.0339190845933796,2447,83,2449,85,0.043451860002525,0.972696238700284,True,0.972696238700284,0.9778,0.0418285948046635,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed2,resnet18,120,0.0166666666666666,0.0347080440996325,0.9796,9778.0,409.0,0.9481,80.0,2369.0
cifar10,clean,symmetric,0.0,2,0.1,0.5,energy,-2.8887997650792023,<=,clean_trained_upper_bound,,1.0,0.0452,2500,113,2500,110,0.0535660678474299,0.998363602535883,True,0.998363602535883,1.0,0.0519,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar10_clean_seed2,resnet18,120,0.0166666666666666,0.044,1.0,10000.0,519.0,0.9481,39.0,2461.0
cifar100,clean,symmetric,0.0,0,0.05,0.5,entropy,0.0291238507550637,<=,clean_trained_upper_bound,,0.4728,0.0245346869712351,1182,29,1116,35,0.0444292226269118,0.425126805229417,True,0.425126805229417,0.4626,0.0296152183311716,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed0,resnet18,120,0.0166666666666666,0.0313620071684587,0.4464,4626.0,137.0,0.7714,80.0,1036.0
cifar100,clean,symmetric,0.0,0,0.1,0.7,msp,0.8158553727067476,>=,clean_trained_upper_bound,,0.6828,0.0691271236086701,1707,118,1670,129,0.0923227645475764,0.647539210708719,True,0.647539210708719,0.6715,0.0769918093819806,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed0,resnet18,120,0.0166666666666666,0.0772455089820359,0.668,6715.0,517.0,0.7714,39.0,1631.0
cifar100,clean,symmetric,0.0,1,0.05,0.7,margin,0.9575223250707912,>=,clean_trained_upper_bound,,0.4968,0.0346215780998389,1242,43,1260,41,0.0449057843331095,0.4825268284130296,True,0.4825268284130296,0.5035,0.0325719960278053,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed1,resnet18,120,0.0166666666666666,0.0325396825396825,0.504,5035.0,164.0,0.7715,80.0,1180.0
cifar100,clean,symmetric,0.0,1,0.1,0.7,margin,0.7865070529331044,>=,clean_trained_upper_bound,,0.6424,0.0684931506849315,1606,110,1627,99,0.0747080446678974,0.6301166185725529,True,0.6301166185725529,0.6442,0.0641105246817758,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed1,resnet18,120,0.0166666666666666,0.0608481868469575,0.6508,6442.0,413.0,0.7715,39.0,1588.0
cifar100,clean,symmetric,0.0,2,0.05,0.5,msp,0.9785138948983304,>=,clean_trained_upper_bound,,0.472,0.0245762711864406,1180,29,1188,43,0.0495458809083638,0.4537913927172209,True,0.4537913927172209,0.4798,0.0293872446852855,certified,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,runs/srcc_cifar100_clean_seed2,resnet18,120,0.0166666666666666,0.0361952861952862,0.4752,4798.0,141.0,0.7705,80.0,1108.0
