dataset,regime,noise_type,noise_rate,alpha,baseline_name,seed_count,row_count,certified_seed_count,mean_certified_coverage_all_seeds,mean_certified_coverage_certified_seeds,mean_cert_risk_ucb_certified_rows,mean_test_risk_certified_rows
cifar10,asym20,asymmetric,0.2,0.05,full_coverage,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,ltt_bonferroni,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,naive_empirical_threshold,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,no_buffer_proposal,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,srcc_main,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.1,full_coverage,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.1,ltt_bonferroni,3,3,3,0.5013375054389559,0.5013375054389559,0.09912496916167905,0.07271463162138272
cifar10,asym20,asymmetric,0.2,0.1,naive_empirical_threshold,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.1,no_buffer_proposal,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.1,srcc_main,3,3,3,0.5143017331417302,0.5143017331417302,0.08272805779385657,0.06922507520331343
cifar10,clean,symmetric,0.0,0.05,clean_trained_upper_bound,3,3,3,0.9794419466886622,0.9794419466886622,0.04512610263965947,0.04450950871232243
cifar10,clean,symmetric,0.0,0.05,full_coverage,3,3,1,0.33293414158561335,0.99880242475684,0.049209565305063166,0.052
cifar10,clean,symmetric,0.0,0.05,ltt_bonferroni,3,3,3,0.9654645846167984,0.9654645846167984,0.04960601234180994,0.04194514034262444
cifar10,clean,symmetric,0.0,0.05,naive_empirical_threshold,3,3,2,0.6630326984988517,0.9945490477482776,0.047852280353275475,0.05013515687851971
cifar10,clean,symmetric,0.0,0.05,no_buffer_proposal,3,3,1,0.32975317328094567,0.989259519842837,0.0486154270411234,0.0482703137570394
cifar10,clean,symmetric,0.0,0.05,srcc_main,3,3,3,0.9794419466886622,0.9794419466886622,0.04512610263965947,0.04450950871232243
cifar10,clean,symmetric,0.0,0.1,clean_trained_upper_bound,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076064,0.05149026637292207
cifar10,clean,symmetric,0.0,0.1,full_coverage,3,3,3,0.99880242475684,0.99880242475684,0.050497186877982735,0.0519
cifar10,clean,symmetric,0.0,0.1,ltt_bonferroni,3,3,3,0.9960464409536965,0.9960464409536965,0.061186110681676655,0.05161871715700098
cifar10,clean,symmetric,0.0,0.1,naive_empirical_threshold,3,3,3,0.9985695746483073,0.9985695746483073,0.05050395372850989,0.05149026637292209
cifar10,clean,symmetric,0.0,0.1,no_buffer_proposal,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076064,0.05149026637292207
cifar10,clean,symmetric,0.0,0.1,srcc_main,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076064,0.05149026637292207
cifar10,sym35,symmetric,0.35,0.05,full_coverage,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,ltt_bonferroni,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,naive_empirical_threshold,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,no_buffer_proposal,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,srcc_main,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,full_coverage,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,ltt_bonferroni,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,naive_empirical_threshold,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,no_buffer_proposal,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,srcc_main,3,3,1,0.0338535998026107,0.1015607994078321,0.0919796140746519,0.0504273504273504
cifar100,asym20,asymmetric,0.2,0.05,full_coverage,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,ltt_bonferroni,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,naive_empirical_threshold,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,no_buffer_proposal,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,srcc_main,3,3,1,0.04604929120902754,0.1381478736270826,0.0494857149328364,0.0278657378087397
cifar100,asym20,asymmetric,0.2,0.1,full_coverage,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.1,ltt_bonferroni,3,3,3,0.2253702055075679,0.2253702055075679,0.09656434451758654,0.052293564522351815
cifar100,asym20,asymmetric,0.2,0.1,naive_empirical_threshold,3,3,1,0.1303079393571622,0.3909238180714866,0.09916299216465327,0.09005763688760807
cifar100,asym20,asymmetric,0.2,0.1,no_buffer_proposal,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.1,srcc_main,3,3,3,0.28190842394133503,0.28190842394133503,0.08893638496439744,0.05987365296845693
cifar100,clean,symmetric,0.0,0.05,clean_trained_upper_bound,3,3,3,0.45381500878655584,0.45381500878655584,0.0462936292894617,0.0305248196814208
cifar100,clean,symmetric,0.0,0.05,full_coverage,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.05,ltt_bonferroni,3,3,3,0.3628974075590161,0.3628974075590161,0.04950711908008834,0.02159977793644957
cifar100,clean,symmetric,0.0,0.05,naive_empirical_threshold,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.05,no_buffer_proposal,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.05,srcc_main,3,3,3,0.45381500878655584,0.45381500878655584,0.0462936292894617,0.0305248196814208
cifar100,clean,symmetric,0.0,0.1,clean_trained_upper_bound,3,3,3,0.6390292779922078,0.6390292779922078,0.08507318518384364,0.07076122447221776
cifar100,clean,symmetric,0.0,0.1,full_coverage,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.1,ltt_bonferroni,3,3,3,0.6237050623579524,0.6237050623579524,0.09767861053123056,0.07129540995840039
cifar100,clean,symmetric,0.0,0.1,naive_empirical_threshold,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.1,no_buffer_proposal,3,3,0,0.0,,,
cifar100,clean,symmetric,0.0,0.1,srcc_main,3,3,3,0.6390292779922078,0.6390292779922078,0.08507318518384364,0.07076122447221776
cifar100,sym35,symmetric,0.35,0.05,full_coverage,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,ltt_bonferroni,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,naive_empirical_threshold,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,no_buffer_proposal,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,srcc_main,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.1,full_coverage,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.1,ltt_bonferroni,3,3,2,0.06399676451458781,0.09599514677188173,0.0980838798160657,0.057021200704460845
cifar100,sym35,symmetric,0.35,0.1,naive_empirical_threshold,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.1,no_buffer_proposal,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.1,srcc_main,3,3,2,0.0833035927606635,0.12495538914099524,0.0865940936960116,0.0622197909058606
