dataset,regime,alpha,baseline_name,best_failed_cert_risk_ucb,best_failed_cert_coverage_lcb,failure_reason,test_risk_le_alpha_but_cert_risk_ucb_gt_alpha,coverage_collapse_count
cifar10,asym20,0.05,full_coverage,0.2050122996224786,0.99880242475684,high_cert_error_ucb,False,3
cifar10,asym20,0.05,ltt_bonferroni,0.2236830263392802,0.9960464409536964,high_cert_error_ucb,False,3
cifar10,asym20,0.05,naive_empirical_threshold,0.0780082348372506,0.4295007130162171,high_cert_error_ucb,False,3
cifar10,asym20,0.05,no_buffer_proposal,0.0820532025630924,0.4247291885636531,high_cert_error_ucb,False,3
cifar10,asym20,0.05,srcc_main,0.0820532025630924,0.4247291885636531,high_cert_error_ucb,False,3
cifar10,asym20,0.05,uncertified_empirical_threshold,0.0780082348372506,0.4295007130162171,high_cert_error_ucb,False,3
cifar10,asym20,0.1,full_coverage,0.2050122996224786,0.99880242475684,high_cert_error_ucb,False,3
cifar10,asym20,0.1,naive_empirical_threshold,0.1190231967668846,0.6963181854600549,high_cert_error_ucb,False,3
cifar10,asym20,0.1,no_buffer_proposal,0.1228244127566729,0.6918413386365712,high_cert_error_ucb,False,3
cifar10,asym20,0.1,uncertified_empirical_threshold,0.1190231967668846,0.6963181854600549,high_cert_error_ucb,False,3
cifar10,clean,0.05,full_coverage,0.0509265662787497,0.99880242475684,high_cert_error_ucb,False,2
cifar10,clean,0.05,naive_empirical_threshold,0.0513554290501352,0.99880242475684,high_cert_error_ucb,False,1
cifar10,clean,0.05,no_buffer_proposal,0.051377959172236,0.998363602535883,high_cert_error_ucb,False,2
cifar10,clean,0.05,uncertified_empirical_threshold,0.0513554290501352,0.99880242475684,high_cert_error_ucb,False,1
cifar10,sym35,0.05,full_coverage,0.3235490036861229,0.99880242475684,high_cert_error_ucb,False,3
cifar10,sym35,0.05,ltt_bonferroni,0.3448745175116146,0.9960464409536964,high_cert_error_ucb,False,3
cifar10,sym35,0.05,naive_empirical_threshold,0.097016323950073,0.1167509659094724,high_cert_error_ucb,True,3
cifar10,sym35,0.05,no_buffer_proposal,0.1055815382232475,0.1137112383450798,high_cert_error_ucb,True,3
cifar10,sym35,0.05,srcc_main,0.1055815382232475,0.1137112383450798,high_cert_error_ucb,True,3
cifar10,sym35,0.05,uncertified_empirical_threshold,0.097016323950073,0.1167509659094724,high_cert_error_ucb,True,3
cifar10,sym35,0.1,full_coverage,0.3235490036861229,0.99880242475684,high_cert_error_ucb,False,3
cifar10,sym35,0.1,ltt_bonferroni,0.3448745175116146,0.9960464409536964,high_cert_error_ucb,False,3
cifar10,sym35,0.1,naive_empirical_threshold,0.1230540487837075,0.4298989428780755,high_cert_error_ucb,True,3
cifar10,sym35,0.1,no_buffer_proposal,0.1279504500355885,0.425126805229417,high_cert_error_ucb,True,3
cifar10,sym35,0.1,srcc_main,0.1303717969711693,0.3901900153685774,high_cert_error_ucb,True,2
cifar10,sym35,0.1,uncertified_empirical_threshold,0.1230540487837075,0.4298989428780755,high_cert_error_ucb,True,3
cifar100,asym20,0.05,full_coverage,0.3563210669843483,0.99880242475684,high_cert_error_ucb,False,3
cifar100,asym20,0.05,ltt_bonferroni,0.3780829365873068,0.9960464409536964,high_cert_error_ucb,False,3
cifar100,asym20,0.05,naive_empirical_threshold,0.0883991683339157,0.2589358693885343,high_cert_error_ucb,True,3
cifar100,asym20,0.05,no_buffer_proposal,0.0939062059418437,0.2547431060772127,high_cert_error_ucb,True,3
cifar100,asym20,0.05,srcc_main,0.0939062059418437,0.2547431060772127,high_cert_error_ucb,True,2
cifar100,asym20,0.05,uncertified_empirical_threshold,0.0883991683339157,0.2589358693885343,high_cert_error_ucb,True,3
cifar100,asym20,0.1,full_coverage,0.3563210669843483,0.99880242475684,high_cert_error_ucb,False,3
cifar100,asym20,0.1,naive_empirical_threshold,0.1257363967583538,0.4338818297662484,high_cert_error_ucb,True,2
cifar100,asym20,0.1,no_buffer_proposal,0.1306532189163945,0.4291037327015375,high_cert_error_ucb,True,3
cifar100,asym20,0.1,uncertified_empirical_threshold,0.1257363967583538,0.4338818297662484,high_cert_error_ucb,True,2
cifar100,clean,0.05,full_coverage,0.2422343014428472,0.99880242475684,high_cert_error_ucb,False,3
cifar100,clean,0.05,naive_empirical_threshold,0.0683780024894926,0.588431858024107,high_cert_error_ucb,True,3
cifar100,clean,0.05,no_buffer_proposal,0.0716379943166233,0.5836614848899104,high_cert_error_ucb,True,3
cifar100,clean,0.05,uncertified_empirical_threshold,0.0683780024894926,0.588431858024107,high_cert_error_ucb,True,3
cifar100,clean,0.1,full_coverage,0.2422343014428472,0.99880242475684,high_cert_error_ucb,False,3
cifar100,clean,0.1,naive_empirical_threshold,0.1178179440452026,0.7328990626275687,high_cert_error_ucb,True,3
cifar100,clean,0.1,no_buffer_proposal,0.1215086772821431,0.7285841210939821,high_cert_error_ucb,True,3
cifar100,clean,0.1,uncertified_empirical_threshold,0.1178179440452026,0.7328990626275687,high_cert_error_ucb,True,3
cifar100,sym35,0.05,full_coverage,0.4966464684565346,0.99880242475684,high_cert_error_ucb,False,3
cifar100,sym35,0.05,ltt_bonferroni,0.519095200556104,0.9960464409536964,high_cert_error_ucb,False,3
cifar100,sym35,0.05,naive_empirical_threshold,0.107623710566346,0.1333356453330409,high_cert_error_ucb,False,3
cifar100,sym35,0.05,no_buffer_proposal,0.115969257723324,0.1301114725298218,high_cert_error_ucb,False,3
cifar100,sym35,0.05,srcc_main,0.115969257723324,0.1301114725298218,high_cert_error_ucb,False,3
cifar100,sym35,0.05,uncertified_empirical_threshold,0.107623710566346,0.1333356453330409,high_cert_error_ucb,False,3
cifar100,sym35,0.1,full_coverage,0.4966464684565346,0.99880242475684,high_cert_error_ucb,False,3
cifar100,sym35,0.1,ltt_bonferroni,0.519095200556104,0.9960464409536964,high_cert_error_ucb,False,1
cifar100,sym35,0.1,naive_empirical_threshold,0.1416471246605563,0.2691581496461837,high_cert_error_ucb,True,3
cifar100,sym35,0.1,no_buffer_proposal,0.1481871262320718,0.2649108197753568,high_cert_error_ucb,True,3
cifar100,sym35,0.1,srcc_main,0.1363618848916696,0.222373985340078,high_cert_error_ucb,True,1
cifar100,sym35,0.1,uncertified_empirical_threshold,0.1416471246605563,0.2691581496461837,high_cert_error_ucb,True,3
