dataset,regime,noise_type,noise_rate,seed,alpha,baseline_name,canonical_baseline_name,baseline_equivalence,method_family,method_source,gamma,score_name,threshold,threshold_direction,prop_n,prop_k,prop_coverage,prop_risk,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,delta_total,delta_risk,delta_coverage,delta_allocation,certificate_scope,n_certified_candidates,delta_risk_per_row,delta_coverage_per_row,reason,uses_test_for_selection,uses_certification_for_selection,selection_correction,is_primary_srcc,test_looks_good_but_not_certified,coverage_collapse,run_dir,model,epochs,delta,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,zero_error_min_cert_n,cert_n_minus_zero_error_min_n
cifar10,asym20,asymmetric,0.2,0,0.05,full_coverage,full_coverage,,comparison,reused_from_baseline_report,,full_coverage,,all,2500,471,1.0,0.1884,2500,479,0.2050122996224786,0.99880242475684,False,0.0,1.0,0.1998,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,none_needed_fixed_selector,False,False,True,runs/srcc_cifar10_asym20_seed0,resnet18,120,,,,,,,,
cifar10,asym20,asymmetric,0.2,0,0.05,ltt_bonferroni,ltt_bonferroni,,comparison,reused_from_baseline_report,,entropy,0.8048955356566202,<=,2500,471,1.0,0.1884,2500,479,0.2236830263392802,0.9960464409536964,False,0.0,1.0,0.1998,0.05,5e-05,5e-05,risk_only_legacy,simultaneous_rows,1000,5e-05,5e-05,high_cert_error_ucb,False,True,bonferroni,False,False,True,runs/srcc_cifar10_asym20_seed0,resnet18,120,5e-05,0.1916,1.0,10000.0,1998.0,0.8002,194.0,2306.0
cifar10,asym20,asymmetric,0.2,0,0.05,naive_empirical_threshold,no_buffer_proposal,same_as_gamma_1_no_buffer,comparison,reused_proposal_selected_naive,1.0,entropy,0.0159704120442747,<=,994,49,0.3976,0.0492957746478873,965,47,0.0616899873357668,0.3698895598051723,False,0.0,0.3922,0.0537990821009688,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed0,resnet18,120,0.05,0.0487046632124352,0.386,3922.0,211.0,0.8002,59.0,906.0
cifar10,asym20,asymmetric,0.2,0,0.05,no_buffer_proposal,no_buffer_proposal,gamma_1_no_buffer,comparison,derived_from_srcc_gamma_1,1.0,entropy,0.0159704120442747,<=,994,49,0.3976,0.0492957746478873,965,47,0.0656310904888254,0.3652461868863348,False,0.0,0.3922,0.0537990821009688,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed0,resnet18,120,0.0166666666666666,0.0487046632124352,0.386,3922.0,211.0,0.8002,80.0,885.0
cifar10,asym20,asymmetric,0.2,0,0.05,srcc_main,srcc_main,,srcc,reused_from_baseline_report,1.0,entropy,0.0159704120442747,<=,994,49,0.3976,0.0492957746478873,965,47,0.0656310904888254,0.3652461868863348,False,0.0,0.3922,0.0537990821009688,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,high_cert_error_ucb,False,False,proposal_split,True,False,True,runs/srcc_cifar10_asym20_seed0,resnet18,120,0.0166666666666666,0.0487046632124352,0.386,3922.0,211.0,0.8002,80.0,885.0
cifar10,asym20,asymmetric,0.2,0,0.05,uncertified_empirical_threshold,naive_empirical_threshold,same_selector_as_naive_empirical_threshold,diagnostic,derived_from_naive_empirical_threshold,1.0,entropy,0.0159704120442747,<=,994,49,0.3976,0.0492957746478873,965,47,0.0616899873357668,0.3698895598051723,False,0.0,0.3922,0.0537990821009688,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed0,resnet18,120,0.05,0.0487046632124352,0.386,3922.0,211.0,0.8002,59.0,906.0
cifar10,asym20,asymmetric,0.2,0,0.1,full_coverage,full_coverage,,comparison,reused_from_baseline_report,,full_coverage,,all,2500,471,1.0,0.1884,2500,479,0.2050122996224786,0.99880242475684,False,0.0,1.0,0.1998,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,none_needed_fixed_selector,False,False,True,runs/srcc_cifar10_asym20_seed0,resnet18,120,,,,,,,,
cifar10,asym20,asymmetric,0.2,0,0.1,ltt_bonferroni,ltt_bonferroni,,comparison,reused_from_baseline_report,,entropy,0.0488661344155342,<=,1433,108,0.5732,0.0753663642707606,1395,96,0.0988387208772237,0.5189762601989898,True,0.5189762601989898,0.563,0.0735346358792184,0.05,5e-05,5e-05,risk_only_legacy,simultaneous_rows,1000,5e-05,5e-05,certified,False,True,bonferroni,False,False,False,runs/srcc_cifar10_asym20_seed0,resnet18,120,5e-05,0.0688172043010752,0.558,5630.0,414.0,0.8002,94.0,1301.0
cifar10,asym20,asymmetric,0.2,0,0.1,naive_empirical_threshold,no_buffer_proposal,same_as_gamma_1_no_buffer,comparison,reused_proposal_selected_naive,1.0,msp,0.930313613864336,>=,1782,176,0.7128,0.0987654320987654,1729,165,0.1078578619263658,0.6760458833718234,False,0.0,0.7052,0.1073454339194554,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed0,resnet18,120,0.05,0.0954308849045691,0.6916,7052.0,757.0,0.8002,29.0,1700.0
cifar10,asym20,asymmetric,0.2,0,0.1,no_buffer_proposal,no_buffer_proposal,gamma_1_no_buffer,comparison,derived_from_srcc_gamma_1,1.0,msp,0.930313613864336,>=,1782,176,0.7128,0.0987654320987654,1729,165,0.1115597306088707,0.6714938710813749,False,0.0,0.7052,0.1073454339194554,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed0,resnet18,120,0.0166666666666666,0.0954308849045691,0.6916,7052.0,757.0,0.8002,39.0,1690.0
cifar10,asym20,asymmetric,0.2,0,0.1,srcc_main,srcc_main,,srcc,reused_from_baseline_report,0.7,entropy,0.0406167304883139,<=,1358,95,0.5432,0.0699558173784977,1332,86,0.0804105703905806,0.5113328522749978,True,0.5113328522749978,0.5335,0.0686035613870665,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,certified,False,False,proposal_split,True,False,False,runs/srcc_cifar10_asym20_seed0,resnet18,120,0.0166666666666666,0.0645645645645645,0.5328,5335.0,366.0,0.8002,39.0,1293.0
cifar10,asym20,asymmetric,0.2,0,0.1,uncertified_empirical_threshold,naive_empirical_threshold,same_selector_as_naive_empirical_threshold,diagnostic,derived_from_naive_empirical_threshold,1.0,msp,0.930313613864336,>=,1782,176,0.7128,0.0987654320987654,1729,165,0.1078578619263658,0.6760458833718234,False,0.0,0.7052,0.1073454339194554,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed0,resnet18,120,0.05,0.0954308849045691,0.6916,7052.0,757.0,0.8002,29.0,1700.0
cifar10,asym20,asymmetric,0.2,1,0.05,full_coverage,full_coverage,,comparison,reused_from_baseline_report,,full_coverage,,all,2500,455,1.0,0.182,2500,494,0.2111591481116404,0.99880242475684,False,0.0,1.0,0.2021,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,none_needed_fixed_selector,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,,,,,,,,
cifar10,asym20,asymmetric,0.2,1,0.05,ltt_bonferroni,ltt_bonferroni,,comparison,reused_from_baseline_report,,energy,-3.4085347066693803,<=,2500,455,1.0,0.182,2499,493,0.2296846880666119,0.9950088277370116,False,0.0,0.9996,0.2018807523009203,0.05,5e-05,5e-05,risk_only_legacy,simultaneous_rows,1000,5e-05,5e-05,high_cert_error_ucb,False,True,bonferroni,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,5e-05,0.1972789115646258,0.9996,9996.0,2018.0,0.7979,194.0,2305.0
cifar10,asym20,asymmetric,0.2,1,0.05,naive_empirical_threshold,no_buffer_proposal,same_as_gamma_1_no_buffer,comparison,reused_proposal_selected_naive,1.0,msp,0.9957764889383326,>=,954,47,0.3816,0.0492662473794549,988,46,0.05914142869535,0.3790137554746552,False,0.0,0.3743,0.0550360673256745,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.05,0.0465587044534413,0.3952,3743.0,206.0,0.7979,59.0,929.0
cifar10,asym20,asymmetric,0.2,1,0.05,no_buffer_proposal,no_buffer_proposal,gamma_1_no_buffer,comparison,derived_from_srcc_gamma_1,1.0,msp,0.9957764889383326,>=,954,47,0.3816,0.0492662473794549,988,46,0.0629630708578711,0.3743459867129735,False,0.0,0.3743,0.0550360673256745,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.0166666666666666,0.0465587044534413,0.3952,3743.0,206.0,0.7979,80.0,908.0
cifar10,asym20,asymmetric,0.2,1,0.05,srcc_main,srcc_main,,srcc,reused_from_baseline_report,1.0,msp,0.9957764889383326,>=,954,47,0.3816,0.0492662473794549,988,46,0.0629630708578711,0.3743459867129735,False,0.0,0.3743,0.0550360673256745,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,high_cert_error_ucb,False,False,proposal_split,True,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.0166666666666666,0.0465587044534413,0.3952,3743.0,206.0,0.7979,80.0,908.0
cifar10,asym20,asymmetric,0.2,1,0.05,uncertified_empirical_threshold,naive_empirical_threshold,same_selector_as_naive_empirical_threshold,diagnostic,derived_from_naive_empirical_threshold,1.0,msp,0.9957764889383326,>=,954,47,0.3816,0.0492662473794549,988,46,0.05914142869535,0.3790137554746552,False,0.0,0.3743,0.0550360673256745,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.05,0.0465587044534413,0.3952,3743.0,206.0,0.7979,59.0,929.0
cifar10,asym20,asymmetric,0.2,1,0.1,full_coverage,full_coverage,,comparison,reused_from_baseline_report,,full_coverage,,all,2500,455,1.0,0.182,2500,494,0.2111591481116404,0.99880242475684,False,0.0,1.0,0.2021,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,none_needed_fixed_selector,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,,,,,,,,
cifar10,asym20,asymmetric,0.2,1,0.1,ltt_bonferroni,ltt_bonferroni,,comparison,reused_from_baseline_report,,entropy,0.0539058429417882,<=,1546,128,0.6184,0.0827943078913324,1510,106,0.0991381403927949,0.565369772498592,True,0.565369772498592,0.59,0.0840677966101695,0.05,5e-05,5e-05,risk_only_legacy,simultaneous_rows,1000,5e-05,5e-05,certified,False,True,bonferroni,False,False,False,runs/srcc_cifar10_asym20_seed1,resnet18,120,5e-05,0.0701986754966887,0.604,5900.0,496.0,0.7979,94.0,1416.0
cifar10,asym20,asymmetric,0.2,1,0.1,naive_empirical_threshold,no_buffer_proposal,same_as_gamma_1_no_buffer,comparison,reused_proposal_selected_naive,1.0,msp,0.944658489193265,>=,1769,176,0.7076,0.0994912379875636,1742,172,0.1112871710221931,0.6813133973954427,False,0.0,0.6875,0.1037090909090909,0.05,0.05,0.05,risk_only_legacy,single_selector,1,0.05,0.05,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.05,0.0987370838117106,0.6968,6875.0,713.0,0.7979,29.0,1713.0
cifar10,asym20,asymmetric,0.2,1,0.1,no_buffer_proposal,no_buffer_proposal,gamma_1_no_buffer,comparison,derived_from_srcc_gamma_1,1.0,msp,0.944658489193265,>=,1769,176,0.7076,0.0994912379875636,1742,172,0.1150235598022671,0.6767799649039759,False,0.0,0.6875,0.1037090909090909,0.05,0.0166666666666666,0.0166666666666666,risk_only_legacy,simultaneous_rows,3,0.0166666666666666,0.0166666666666666,high_cert_error_ucb,False,False,proposal_split,False,False,True,runs/srcc_cifar10_asym20_seed1,resnet18,120,0.0166666666666666,0.0987370838117106,0.6968,6875.0,713.0,0.7979,39.0,1703.0
