dataset,regime,noise_type,noise_rate,alpha,score_name,seed_count,row_count,certified_seed_count,mean_certified_coverage_all_seeds,mean_certified_coverage_certified_seeds,mean_cert_risk_ucb_certified_rows,mean_test_risk_certified_rows
cifar10,asym20,asymmetric,0.2,0.05,energy,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,entropy,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,margin,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,maxlogit,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.05,msp,3,3,0,0.0,,,
cifar10,asym20,asymmetric,0.2,0.1,energy,3,3,3,0.2276748269467103,0.2276748269467103,0.0844207201328278,0.06257098066183182
cifar10,asym20,asymmetric,0.2,0.1,entropy,3,3,3,0.5143017331417301,0.5143017331417301,0.08272805779385664,0.06922507520331349
cifar10,asym20,asymmetric,0.2,0.1,margin,3,3,3,0.5042694911187692,0.5042694911187692,0.08421903513219235,0.06870974945362163
cifar10,asym20,asymmetric,0.2,0.1,maxlogit,3,3,3,0.38626632803520305,0.38626632803520305,0.09460842917792206,0.07809885850531685
cifar10,asym20,asymmetric,0.2,0.1,msp,3,3,3,0.5077445349465018,0.5077445349465018,0.0835728036148915,0.06852972628720833
cifar10,clean,symmetric,0.0,0.05,energy,3,3,3,0.9774677429382779,0.9774677429382779,0.044439755744070476,0.04501866171695614
cifar10,clean,symmetric,0.0,0.05,entropy,3,3,3,0.9786278063805613,0.9786278063805613,0.04427020549974329,0.04371383599395743
cifar10,clean,symmetric,0.0,0.05,margin,3,3,3,0.9798133612597533,0.9798133612597533,0.045559598794970235,0.0443540497185518
cifar10,clean,symmetric,0.0,0.05,maxlogit,3,3,3,0.9803138416038851,0.9803138416038851,0.04539965361584699,0.045053176063684926
cifar10,clean,symmetric,0.0,0.05,msp,3,3,3,0.9797016955577956,0.9797016955577956,0.045105544010191866,0.04341985538668539
cifar10,clean,symmetric,0.0,0.1,energy,3,3,3,0.9981036233451254,0.9981036233451254,0.052698009136076106,0.05149026637292209
cifar10,clean,symmetric,0.0,0.1,entropy,3,3,3,0.998363602535883,0.998363602535883,0.0526909578690354,0.05161871715700098
cifar10,clean,symmetric,0.0,0.1,margin,3,3,3,0.9964799240162714,0.9964799240162714,0.05216222399008471,0.05146934632471046
cifar10,clean,symmetric,0.0,0.1,maxlogit,3,3,3,0.9964799240162714,0.9964799240162714,0.05187073604405393,0.05106627908457787
cifar10,clean,symmetric,0.0,0.1,msp,3,3,3,0.9971453407065193,0.9971453407065193,0.05214236759399443,0.05131616930554093
cifar10,sym35,symmetric,0.35,0.05,energy,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,entropy,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,margin,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,maxlogit,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.05,msp,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,energy,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,entropy,3,3,2,0.07932043927548207,0.11898065891322311,0.09035076205558118,0.05301935410258483
cifar10,sym35,symmetric,0.35,0.1,margin,3,3,1,0.03385359980261073,0.10156079940783219,0.09197961407465197,0.05042735042735043
cifar10,sym35,symmetric,0.35,0.1,maxlogit,3,3,0,0.0,,,
cifar10,sym35,symmetric,0.35,0.1,msp,3,3,1,0.030450172900750944,0.09135051870225283,0.07740476167677897,0.04734848484848485
cifar100,asym20,asymmetric,0.2,0.05,energy,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,entropy,3,3,1,0.04235148399380135,0.12705445198140405,0.046059091054148335,0.023858214042263123
cifar100,asym20,asymmetric,0.2,0.05,margin,3,3,1,0.042733512444624755,0.12820053733387426,0.045676679242732936,0.027192386131883073
cifar100,asym20,asymmetric,0.2,0.05,maxlogit,3,3,0,0.0,,,
cifar100,asym20,asymmetric,0.2,0.05,msp,3,3,1,0.04604929120902754,0.1381478736270826,0.049485714932836405,0.02786573780873971
cifar100,asym20,asymmetric,0.2,0.1,energy,3,3,2,0.08770531343551324,0.13155797015326987,0.08553695862742197,0.052399469971904866
cifar100,asym20,asymmetric,0.2,0.1,entropy,3,3,3,0.280205774229207,0.280205774229207,0.08708862364506116,0.0592672402660129
cifar100,asym20,asymmetric,0.2,0.1,margin,3,3,3,0.27408059425608866,0.27408059425608866,0.09095533182017064,0.05980366302166407
cifar100,asym20,asymmetric,0.2,0.1,maxlogit,3,3,2,0.10234231332868264,0.15351346999302395,0.08282257179539117,0.05550118036921363
cifar100,asym20,asymmetric,0.2,0.1,msp,3,3,3,0.27629778649121506,0.27629778649121506,0.09004631025346199,0.05804980243305966
cifar100,clean,symmetric,0.0,0.05,energy,3,3,3,0.28775976935579567,0.28775976935579567,0.047214015120745856,0.028103063527352392
cifar100,clean,symmetric,0.0,0.05,entropy,3,3,2,0.29416875501198725,0.4412531325179809,0.04535931126030711,0.03154009721380864
cifar100,clean,symmetric,0.0,0.05,margin,3,3,3,0.4498413285189496,0.4498413285189496,0.044576734692901195,0.0288862055822344
cifar100,clean,symmetric,0.0,0.05,maxlogit,3,3,2,0.17556740080055264,0.26335110120082894,0.04115376950771887,0.025086063787648032
cifar100,clean,symmetric,0.0,0.05,msp,3,3,3,0.443322591620296,0.443322591620296,0.045954190467372036,0.029944756288667145
cifar100,clean,symmetric,0.0,0.1,energy,3,3,3,0.5271312771164047,0.5271312771164047,0.08418851851477367,0.06699440495294685
cifar100,clean,symmetric,0.0,0.1,entropy,3,3,3,0.635275116024913,0.635275116024913,0.09299324098033725,0.0757414444326102
cifar100,clean,symmetric,0.0,0.1,margin,3,3,3,0.6394348244881375,0.6394348244881375,0.08458790615602935,0.07082568307328599
cifar100,clean,symmetric,0.0,0.1,maxlogit,3,3,3,0.5429211501491793,0.5429211501491793,0.08358673319180443,0.06742981107873391
cifar100,clean,symmetric,0.0,0.1,msp,3,3,3,0.6322815831214124,0.6322815831214124,0.08347046876605775,0.0688913254323662
cifar100,sym35,symmetric,0.35,0.05,energy,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,entropy,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,margin,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,maxlogit,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.05,msp,3,3,0,0.0,,,
cifar100,sym35,symmetric,0.35,0.1,energy,3,3,2,0.06909798164677779,0.10364697247016669,0.08601865813815797,0.07216565414563189
cifar100,sym35,symmetric,0.35,0.1,entropy,3,3,2,0.08012400814821304,0.12018601222231956,0.07855956821660875,0.060792123554457636
cifar100,sym35,symmetric,0.35,0.1,margin,3,3,2,0.08330359276066353,0.1249553891409953,0.08659409369601165,0.06221979090586065
cifar100,sym35,symmetric,0.35,0.1,maxlogit,3,3,2,0.06897352545728395,0.10346028818592592,0.0857025911222927,0.07157877876474956
cifar100,sym35,symmetric,0.35,0.1,msp,3,3,2,0.08190385571144344,0.12285578356716516,0.08262321385996085,0.0603506480815188
