dataset,regime,noise_type,noise_rate,alpha,gamma,score_name,seed_count,row_count,certified_seed_count,certification_rate,mean_certified_coverage_at_alpha,mean_cert_risk_ucb,mean_test_risk,mean_temperature,mean_prop_nll_before,mean_prop_nll_after
cifar10,asym20,asymmetric,0.2,0.05,0.5,msp,1,1,0,0.0,0.0,0.05894809981150017,0.036973833902161544,1.725219359983354,0.682331554716972,0.5486238984744265
cifar10,asym20,asymmetric,0.2,0.05,0.7,entropy,1,1,0,0.0,0.0,0.062084516903124574,0.04727146332985749,1.725219359983354,0.682331554716972,0.5486238984744265
cifar10,asym20,asymmetric,0.2,0.05,1.0,margin,1,1,0,0.0,0.0,0.06842835834663817,0.05643173977328733,1.725219359983354,0.682331554716972,0.5486238984744265
cifar10,asym20,asymmetric,0.2,0.1,0.5,margin,1,1,1,1.0,0.3796915397921252,0.06842835834663817,0.05643173977328733,1.725219359983354,0.682331554716972,0.5486238984744265
cifar10,asym20,asymmetric,0.2,0.1,0.7,entropy,1,1,1,1.0,0.5219007789344643,0.08375009525972285,0.07423580786026202,1.725219359983354,0.682331554716972,0.5486238984744265
cifar10,asym20,asymmetric,0.2,0.1,1.0,margin,1,1,0,0.0,0.0,0.11434893326675752,0.1077988132240746,1.725219359983354,0.682331554716972,0.5486238984744265
cifar10,sym35,symmetric,0.35,0.05,0.5,energy,1,1,0,0.0,0.0,0.1625791880503029,0.05454545454545454,1.9708753014533635,1.3542051968649582,1.0489415455919289
cifar10,sym35,symmetric,0.35,0.05,0.7,energy,1,1,0,0.0,0.0,0.1338667274708144,0.05429864253393665,1.9708753014533635,1.3542051968649582,1.0489415455919289
cifar10,sym35,symmetric,0.35,0.05,1.0,entropy,1,1,0,0.0,0.0,0.10588202395529221,0.04511970534069982,1.9708753014533635,1.3542051968649582,1.0489415455919289
cifar10,sym35,symmetric,0.35,0.1,0.5,entropy,1,1,0,0.0,0.0,0.10588202395529221,0.04511970534069982,1.9708753014533635,1.3542051968649582,1.0489415455919289
cifar10,sym35,symmetric,0.35,0.1,0.7,maxlogit,1,1,0,0.0,0.0,0.1077505685633724,0.06918982850384388,1.9708753014533635,1.3542051968649582,1.0489415455919289
cifar10,sym35,symmetric,0.35,0.1,1.0,margin,1,1,0,0.0,0.0,0.10627642185902969,0.09192111959287531,1.9708753014533635,1.3542051968649582,1.0489415455919289
cifar100,asym20,asymmetric,0.2,0.05,0.5,margin,1,1,1,1.0,0.12835626106853482,0.04828645083339015,0.025165562913907286,1.2872168324111615,1.429107965629083,1.3689503344887508
cifar100,asym20,asymmetric,0.2,0.05,0.7,entropy,1,1,0,0.0,0.0,0.05979384188593435,0.03949367088607595,1.2872168324111615,1.429107965629083,1.3689503344887508
cifar100,asym20,asymmetric,0.2,0.05,1.0,entropy,1,1,0,0.0,0.0,0.07294322123745509,0.05291828793774319,1.2872168324111615,1.429107965629083,1.3689503344887508
cifar100,asym20,asymmetric,0.2,0.1,0.5,entropy,1,1,1,1.0,0.22794703744506742,0.07294322123745509,0.05291828793774319,1.2872168324111615,1.429107965629083,1.3689503344887508
cifar100,asym20,asymmetric,0.2,0.1,0.7,msp,1,1,1,1.0,0.2793816988071906,0.0836612407709999,0.06457862447529868,1.2872168324111615,1.429107965629083,1.3689503344887508
cifar100,asym20,asymmetric,0.2,0.1,1.0,margin,1,1,0,0.0,0.0,0.10649780335231245,0.0904716073147257,1.2872168324111615,1.429107965629083,1.3689503344887508
cifar100,sym35,symmetric,0.35,0.05,0.5,margin,1,1,0,0.0,0.0,0.05739095618026037,0.04451038575667656,1.3219489219871996,2.0865040186219317,1.9849414781510923
cifar100,sym35,symmetric,0.35,0.05,0.7,msp,1,1,0,0.0,0.0,0.07228504605041523,0.057707509881422925,1.3219489219871996,2.0865040186219317,1.9849414781510923
cifar100,sym35,symmetric,0.35,0.05,1.0,msp,1,1,0,0.0,0.0,0.09691310915072543,0.06608811748998665,1.3219489219871996,2.0865040186219317,1.9849414781510923
cifar100,sym35,symmetric,0.35,0.1,0.5,msp,1,1,1,1.0,0.11962782942262594,0.09691310915072543,0.06608811748998665,1.3219489219871996,2.0865040186219317,1.9849414781510923
cifar100,sym35,symmetric,0.35,0.1,0.7,margin,1,1,0,0.0,0.0,0.1106620691116853,0.08112244897959184,1.3219489219871996,2.0865040186219317,1.9849414781510923
cifar100,sym35,symmetric,0.35,0.1,1.0,msp,1,1,0,0.0,0.0,0.14687974583806615,0.1057315770736917,1.3219489219871996,2.0865040186219317,1.9849414781510923
