dataset,regime,noise_type,noise_rate,seed,alpha,gamma,score_name,threshold,threshold_direction,method_name,temperature,prop_nll_before,prop_nll_after,temperature_fit_split,temperature_fit_objective,prop_n,prop_k,prop_coverage,prop_risk,cert_n,cert_k,cert_risk_ucb,cert_coverage_lcb,certified,certified_coverage_at_alpha,test_coverage,test_risk,delta_total,delta_risk,delta_coverage,delta_allocation,certificate_scope,n_certified_candidates,reason,delta,cert_risk_emp,cert_coverage_emp,test_n,test_k,test_accuracy_all,zero_error_min_cert_n,cert_n_minus_zero_error_min_n,run_dir,guarantee_source
cifar10,asym20,asymmetric,0.2,0,0.05,0.5,msp,0.9698407069080035,>=,temperature_scaled_srcc,1.725219359983354,0.682331554716972,0.5486238984744265,prop,nll,440,11,0.176,0.025,432,14,0.05894809981150017,0.15505724702277604,False,0.0,0.1758,0.036973833902161544,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.032407407407407406,0.1728,1758,65,0.8002,94,338,runs/srcc_cifar10_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar10,asym20,asymmetric,0.2,0,0.05,0.7,entropy,0.11125790749950354,<=,temperature_scaled_srcc,1.725219359983354,0.682331554716972,0.5486238984744265,prop,nll,718,25,0.2872,0.034818941504178275,692,28,0.062084516903124574,0.2555660894507701,False,0.0,0.2877,0.04727146332985749,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.04046242774566474,0.2768,2877,136,0.8002,94,598,runs/srcc_cifar10_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar10,asym20,asymmetric,0.2,0,0.05,1.0,margin,0.8839935204591157,>=,temperature_scaled_srcc,1.725219359983354,0.682331554716972,0.5486238984744265,prop,nll,1029,51,0.4116,0.04956268221574344,1008,50,0.06842835834663817,0.3796915397921252,False,0.0,0.4058,0.05643173977328733,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.0496031746031746,0.4032,4058,229,0.8002,94,914,runs/srcc_cifar10_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar10,asym20,asymmetric,0.2,0,0.1,0.5,margin,0.8839935204591157,>=,temperature_scaled_srcc,1.725219359983354,0.682331554716972,0.5486238984744265,prop,nll,1029,51,0.4116,0.04956268221574344,1008,50,0.06842835834663817,0.3796915397921252,True,0.3796915397921252,0.4058,0.05643173977328733,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,certified,0.008333333333333333,0.0496031746031746,0.4032,4058,229,0.8002,46,962,runs/srcc_cifar10_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar10,asym20,asymmetric,0.2,0,0.1,0.7,entropy,0.2230317808563746,<=,temperature_scaled_srcc,1.725219359983354,0.682331554716972,0.5486238984744265,prop,nll,1396,97,0.5584,0.06948424068767908,1365,90,0.08375009525972285,0.5219007789344643,True,0.5219007789344643,0.5496,0.07423580786026202,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,certified,0.008333333333333333,0.06593406593406594,0.546,5496,408,0.8002,46,1319,runs/srcc_cifar10_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar10,asym20,asymmetric,0.2,0,0.1,1.0,margin,0.6081302937286794,>=,temperature_scaled_srcc,1.725219359983354,0.682331554716972,0.5486238984744265,prop,nll,1782,176,0.7128,0.09876543209876543,1737,167,0.11434893326675752,0.672238196481763,False,0.0,0.7078,0.1077988132240746,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.09614277489925158,0.6948,7078,763,0.8002,46,1691,runs/srcc_cifar10_asym20_seed0,cert_risk_ucb_on_independent_certification_split
cifar10,sym35,symmetric,0.35,0,0.05,0.5,energy,-5.90776933542761,<=,temperature_scaled_srcc,1.9708753014533635,1.3542051968649582,1.0489415455919289,prop,nll,78,1,0.0312,0.01282051282051282,78,5,0.1625791880503029,0.023464278673921524,False,0.0,0.0275,0.05454545454545454,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.0641025641025641,0.0312,275,15,0.6759999999999999,94,-16,runs/srcc_cifar10_sym35_seed0,cert_risk_ucb_on_independent_certification_split
cifar10,sym35,symmetric,0.35,0,0.05,0.7,energy,-5.639459883569789,<=,temperature_scaled_srcc,1.9708753014533635,1.3542051968649582,1.0489415455919289,prop,nll,128,4,0.0512,0.03125,117,7,0.1338667274708144,0.03725097320700189,False,0.0,0.0442,0.05429864253393665,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.05982905982905983,0.0468,442,24,0.6759999999999999,94,23,runs/srcc_cifar10_sym35_seed0,cert_risk_ucb_on_independent_certification_split
cifar10,sym35,symmetric,0.35,0,0.05,1.0,entropy,0.13841458538499704,<=,temperature_scaled_srcc,1.9708753014533635,1.3542051968649582,1.0489415455919289,prop,nll,304,15,0.1216,0.049342105263157895,286,18,0.10588202395529221,0.09961463335938944,False,0.0,0.1086,0.04511970534069982,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.06293706293706294,0.1144,1086,49,0.6759999999999999,94,192,runs/srcc_cifar10_sym35_seed0,cert_risk_ucb_on_independent_certification_split
cifar10,sym35,symmetric,0.35,0,0.1,0.5,entropy,0.13841458538499704,<=,temperature_scaled_srcc,1.9708753014533635,1.3542051968649582,1.0489415455919289,prop,nll,304,15,0.1216,0.049342105263157895,286,18,0.10588202395529221,0.09961463335938944,False,0.0,0.1086,0.04511970534069982,0.05,0.008333333333333333,0.008333333333333333,joint_split,simultaneous_rows,3,high_cert_error_ucb,0.008333333333333333,0.06293706293706294,0.1144,1086,49,0.6759999999999999,46,240,runs/srcc_cifar10_sym35_seed0,cert_risk_ucb_on_independent_certification_split
